"","Country.Territory","Status","PR.Rating","CL.Rating","A1","A2","A3","A.Aggr","B1","B2","B3","B4","B.Aggr","C1","C2","C3","C.Aggr","Add.A","Add.B","PR.Aggr","D1","D2","D3","D4","D.Aggr","E1","E2","E3","E.Aggr","F1","F2","F3","F4","F.Aggr","G1","G2","G3","G4","G.Aggr","CL.Aggr","Total.Aggr","Year.x","Region.x","pti.COW_Code_A","pti.COW_Code_N","pti.WordBank_Code_A","pti.UN_Code_N","pti.Region.y","pti.PTS_A","pti.PTS_H","pti.PTS_S","HDI.Country","unhdi.Human.Development.Index..HDI.","unhdi.Human.Dev.Category","unhdi.Life.expectancy.at.birth","unhdi.HDI.rank","unhdi.Expected.years.of.schooling","unhdi.Mean.years.of.schooling","unhdi.Gross.national.income..GNI..per.capita","unhdi.GNI.per.capita.rank.minus.HDI.rank","unhdi.Mobile.phone.subscriptions..per.100.people.","unhdi.Internet.users....of.population.","unhdi.Foreign.direct.investment..net.inflows....of.GDP.","unhdi.Private.capital.flows..","unhdi.Net.official.development.assistance.received","unhdi.Remittances..inflows","unhdi.Net.migration.rate","unhdi.Stock.of.immigrants","unhdi.International.student.mobility","unhdi.International.inbound.tourists","FSI_Total","FSI_Demographic.Pressures","FSI_Refugees.and.IDPs","FSI_Group.Grievance","FSI_Human.Flight","FSI_Uneven.Development","FSI_Poverty.and.Economic.Decline","FSI_Legitimacy.of.the.State","FSI_Public.Services","FSI_Human.Rights","FSI_Security.Apparatus","FSI_Factionalized.Elites","FSI_External.Intervention","TI_Rank","TI_CPI2015","TI_Country","TI_Region","TI_wbcode","TI_World.Bank.CPIA","TI_World.Economic.Forum.EOS","TI_Bertelsmann.Foundation.TI","TI_African.Dev.Bank","TI_IMD.World.Competitiveness.Yearbook","TI_Bertelsmann.Foundation.SGI","TI_World.Justice.Project.ROL","TI_PRS.International.Country.Risk.Guide","TI_Economist.Intelligence.Unit","TI_IHS.Global.Insight","TI_PERC.Asia.Risk.Guide","TI_Freedom.House.NIT","TI_CPI2015.2.","TI_Rank2","TI_Number.of.Sources","TI_Std.Deviation.of.Sources","TI_Standard.Error","TI_Minimum","TI_Maximum","TI_Lower.CI","TI_Upper.CI"
"1","Abkhazia","PF",4,5,3,2,1,6,2,3,2,1,8,1,1,2,4,0,0,18,2,2,1,3,8,3,2,1,6,1,1,1,1,4,1,1,2,1,5,23,41,2015,"Eurasia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Afghanistan","NF",6,6,1,1,1,3,2,1,1,2,6,1,1,0,2,0,0,11,1,1,1,2,5,2,1,1,4,1,0,0,1,2,0,1,0,1,2,13,24,2015,"Asia Pacific","AFG",700,"AFG",4,"sa",5,5,4,"Afghanistan","0.465","Low","60.4","171","9.3","3.2","1,885","-7",74.9,6.4,0.3,0,25.7,2.65,-2.6,0.3,"-5.8",NA,107.9,9.3,9.1,8.9,8.1,7.2,8.6,9.7,9.3,8.6,10,9.3,9.8,166,11,"Afghanistan","AP","AFG",12,NA,19,NA,NA,NA,2,NA,NA,11,NA,NA,11,166,4,6.98,3.49,2,19,5.2415,16.7585
"3","Albania","PF",3,3,3,3,2,8,3,4,3,3,13,3,1,2,6,0,0,27,2,4,3,4,13,4,3,2,9,2,2,2,3,9,3,2,2,2,9,40,67,2015,"Europe","ALB",339,"ALB",8,"eca",3,NA,2,"Albania","0.733","High","77.8","85","11.8","9.3","9,943","14",105.5,60.1,9.7,-8.3,2.3,8.46,-3.2,3.1,"-12.1","2,857",61.9,4.1,3.1,5,7.1,4.2,5.2,6.2,4.5,5.5,4.7,6.2,6.1,88,36,"Albania","ECA","ALB",NA,49,36,NA,NA,NA,18,41,38,32,NA,37,36,88,7,9.48,3.58,18,49,30.093,41.907
"4","Algeria","NF",6,5,1,2,1,4,1,1,1,1,4,1,1,1,3,0,0,11,1,1,2,3,7,1,1,2,4,1,1,1,2,5,2,2,2,1,7,23,34,2015,"Middle East and North Africa","ALG",615,"DZA",12,"mena",3,3,2,"Algeria","0.736","High","74.8","83","14.0","7.6","13,054","-1",93.3,18.1,0.8,-1,0.1,0.1,-0.3,0.7,"-1.1","2,634",79.6,5.7,6.4,8.2,5.1,6,6.4,7.8,5.8,7.1,8,7.7,5.4,88,36,"Algeria","MENA","DZA",NA,34,36,NA,NA,NA,NA,31,38,42,NA,NA,36,88,5,4.15,1.86,31,42,32.931,39.069
"5","Andorra","F",1,1,4,4,4,12,4,4,3,4,15,4,4,4,12,0,0,39,4,4,4,4,16,4,4,3,11,4,4,4,3,15,4,3,4,4,15,57,96,2015,"Europe","AND",232,"ADO",20,"eca",NA,NA,1,"Andorra","0.845","Very High","81.3","34","13.5","9.6","43,978","-18",82.6,95.9,NA,NA,NA,NA,NA,56.9,"-182.3","2,335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Angola","NF",6,5,0,2,1,3,2,1,1,2,6,1,0,0,1,0,0,10,1,2,2,2,7,1,2,1,4,1,1,1,1,4,1,1,1,0,3,18,28,2015,"Sub-Saharan Africa","ANG",540,"AGO",24,"ssa",3,3,3,"Angola","0.532","Low","52.3","149","11.4","4.7","6,822","-30",63.5,21.3,-5.7,10.7,0.3,0,0.6,0.4,NA,"650",88.1,8.7,7.6,7.3,6,9.6,5.6,8.3,8.9,7.3,6,7.2,5.6,163,15,"Angola","SSA","AGO",NA,17,15,NA,NA,NA,NA,12,21,11,NA,NA,15,163,5,4.02,1.8,11,21,12.03,17.97
"7","Antigua and Barbuda","F",2,2,4,4,3,11,3,4,3,3,13,3,2,2,7,0,0,31,2,4,4,4,14,3,3,3,9,3,3,4,3,13,4,3,3,3,13,49,80,2015,"Americas","AAB",58,"ATG",28,"lac",NA,NA,1,"Antigua and Barbuda","0.783","High","76.1","58","14.0","9.2","20,070","-1",120,64,11.2,-11.6,0.1,1.76,-0.1,31.9,"-19.0","244",57.8,4.6,3,3.9,7.3,5,5,5.9,3.9,4.5,5.2,3.7,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Argentina","F",2,2,4,4,3,11,4,3,4,3,14,3,1,2,6,0,0,31,2,4,4,4,14,4,4,3,11,2,3,3,3,11,3,3,4,3,13,49,80,2015,"Americas","ARG",160,"ARG",32,"lac",2,2,2,"Argentina","0.836","Very High","76.3","40","17.9","9.8","22,050","11",158.7,64.7,1.9,-1.7,0,0.09,-0.5,4.5,NA,"5,571",47.6,3.8,2,5,3,5.4,4.9,4.7,4.3,4.1,3.6,2.8,4,107,32,"Argentina","AME","ARG",NA,28,36,NA,25,NA,37,31,38,32,NA,NA,32,107,7,4.86,1.84,25,38,28.964,35.036
"9","Armenia","PF",5,4,1,2,2,5,2,2,1,2,7,1,1,2,4,0,0,16,2,2,2,3,9,2,2,2,6,1,1,2,2,6,3,2,2,2,9,30,46,2015,"Eurasia","ARM",371,"ARM",51,"eca",3,3,2,"Armenia","0.733","High","74.7","85","12.3","10.9","8,124","22",115.9,46.3,3.5,-10,2.7,21.01,-3.4,10.6,"-2.6","1,084",69.7,3.6,7,5.4,6,5,6,7,4.1,6.5,5.3,7,6.8,95,35,"Armenia","ECA","ARM",NA,45,28,NA,NA,NA,NA,31,NA,32,NA,37,35,95,5,6.66,2.98,28,45,30.083,39.917
"10","Australia","F",1,1,4,4,4,12,4,4,4,3,15,4,4,4,12,0,0,39,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,4,3,15,58,97,2015,"Asia Pacific","AUL",900,"AUS",36,"eap",2,2,1,"Australia","0.935","Very High","82.4","2","20.2","13.0","42,261","17",131.2,84.6,3.3,-6.8,NA,0.16,6.5,27.7,"17.1","6,382",24.3,1.8,2.1,4.4,1,2.7,2.1,1.1,2,2.4,2.1,1.6,1,13,79,"Australia","AP","AUS",NA,81,NA,NA,82,81,81,79,71,83,74,NA,79,13,8,4.24,1.5,71,83,76.525,81.475
"11","Austria","F",1,1,4,4,4,12,4,4,4,3,15,4,3,4,11,0,0,38,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,4,3,15,58,96,2015,"Europe","AUS",305,"AUT",40,"eca",2,NA,1,"Austria","0.885","Very High","81.4","23","15.7","10.8","43,869","-5",151.9,81,3.6,0,NA,0.66,3.5,15.7,"13.1","24,800",26,2.4,2,4.3,1.5,3.4,2.2,1.4,1.6,1.7,1.1,2.7,1.7,16,76,"Austria","WE/EU","AUT",NA,77,NA,NA,70,81,81,79,71,73,NA,NA,76,16,7,4.65,1.76,70,81,73.096,78.904
"12","Azerbaijan","NF",6,6,0,0,1,1,1,0,1,1,3,1,1,0,2,0,0,6,0,1,1,2,4,0,0,1,1,1,1,0,1,3,2,1,2,1,6,14,20,2015,"Eurasia","AZE",373,"AZE",31,"eca",3,3,3,"Azerbaijan","0.751","High","70.8","78","11.9","11.2","16,428","-11",110.9,61,3.6,-2.5,-0.1,2.36,0,3.4,"-6.6","2,130",77.3,5.1,7.6,6.4,4.3,5.9,4.1,8.6,5.4,8.4,6.7,7.9,6.9,119,29,"Azerbaijan","ECA","AZE",NA,37,23,NA,NA,NA,NA,21,38,32,NA,21,29,119,6,7.97,3.25,21,38,23.6375,34.3625
"13","Bahamas","F",1,1,4,4,4,12,4,4,4,4,16,4,3,3,10,0,0,38,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,4,3,15,58,96,2015,"Americas","BHM",31,"BHS",44,"lac",3,NA,2,"Bahamas","0.790","High","75.4","55","12.6","10.9","21,336","-3",71.4,76.9,4.5,-4.1,NA,NA,5.2,16.3,NA,"1,364",51.6,6.1,2.8,4.1,5,5,4.7,4.3,4.4,3,4,4.5,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Bahrain","NF",7,6,0,1,1,2,1,1,0,0,2,1,2,0,3,0,2,5,0,1,0,1,2,0,0,1,1,0,1,0,0,1,1,2,2,1,6,10,15,2015,"Middle East and North Africa","BAH",692,"BHR",48,"mena",4,3,2,"Bahrain","0.824","Very High","76.6","45","14.4","9.4","38,599","-20",173.3,91,3,-10.4,NA,NA,3.4,54.7,"-4.7","9,163",64.3,4.6,2.6,7.7,3.5,5.1,3.2,8.4,2.3,7.8,6.7,7.1,5.3,50,51,"Bahrain","MENA","BHR",NA,80,36,NA,NA,NA,NA,50,38,52,NA,NA,51,50,5,17.58,7.86,36,80,38.031,63.969
"15","Bangladesh","PF",4,4,2,2,3,7,2,2,2,3,9,2,1,2,5,0,0,21,2,2,2,2,8,2,2,2,6,2,1,2,1,6,3,2,2,2,9,29,50,2015,"Asia Pacific","BNG",771,"BGD",50,"sa",4,4,4,"Bangladesh","0.570","Medium","71.6","142","10.0","5.1","3,191","5",75.9,9.6,1,-0.9,1.6,9.24,-2.6,0.9,"-1.1","148",91.8,8.1,6.6,8.4,7.5,7.2,6.7,8.5,8.1,7.7,7.7,9.6,5.7,139,25,"Bangladesh","AP","BGD",23,19,23,NA,NA,NA,16,50,21,22,NA,NA,25,139,7,11.36,4.29,16,50,17.9215,32.0785
"16","Barbados","F",1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,0,40,4,4,4,4,16,4,4,4,12,4,4,4,4,16,4,4,3,4,15,59,99,2015,"Americas","BAR",53,"BRB",52,"lac",NA,NA,2,"Barbados","0.785","High","75.6","57","15.4","10.5","12,488","27",106.8,76.7,12.2,-9.6,0.4,1.85,1.4,11.3,"3.9","509",49.3,3.8,2.7,4.1,5.4,5.1,5.7,3,2.7,2.9,4.3,4.2,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Belarus","NF",7,6,0,0,0,0,1,0,1,1,3,0,1,0,1,0,0,4,1,1,0,1,3,0,1,0,1,0,1,0,0,1,1,1,2,1,5,10,14,2015,"Eurasia","BLR",370,"BLR",112,"eca",2,3,2,"Belarus","0.798","High","71.3","50","15.7","12.0","16,676","14",122.5,59,3.1,-2.7,0.2,1.69,-0.2,11.6,"-4.0","137",75.6,5.6,4.1,6.8,3.4,5.2,6.1,8.6,4.7,8.4,6.6,8.3,7.8,107,32,"Belarus","ECA","BLR",NA,NA,28,NA,NA,NA,52,31,21,32,NA,26,32,107,6,10.71,4.37,21,52,24.7895,39.2105
"18","Belgium","F",1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,0,40,4,3,4,4,15,4,4,4,12,4,4,4,3,15,4,4,4,3,15,57,97,2015,"Europe","BEL",211,"BEL",56,"eca",1,NA,1,"Belgium","0.890","Very High","80.8","21","16.3","11.3","41,187","0",114.3,85,-0.6,-10,NA,2.12,2.7,10.4,"6.6","7,684",30.4,2.5,1.6,4.1,1.9,3.2,4.5,1.9,2.1,1.2,2,3.9,1.5,15,77,"Belgium","WE/EU","BEL",NA,79,NA,NA,77,81,76,79,71,73,NA,NA,77,15,7,3.55,1.34,71,81,74.789,79.211
"19","Belize","F",1,2,4,4,4,12,4,4,4,2,14,4,2,4,10,0,0,36,3,4,4,4,15,3,4,4,11,3,3,3,3,12,4,3,3,3,13,51,87,2015,"Americas","BLZ",80,"BLZ",84,"lac",NA,NA,2,"Belize","0.715","High","70.0","101","13.6","10.5","7,614","9",50.7,38.7,5.5,-4.5,3.3,4.58,4.6,15.3,NA,"294",65.3,5.9,4.1,4.1,6.5,6.2,5.9,5.7,5.8,4.1,5.8,4.3,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Benin","F",2,2,3,3,2,8,4,4,4,4,16,3,2,3,8,0,0,32,3,4,4,4,15,4,4,4,12,3,3,3,3,12,3,3,2,2,10,49,81,2015,"Sub-Saharan Africa","BEN",434,"BEN",204,"ssa",2,NA,2,"Benin","0.480","Low","59.6","166","11.1","3.3","1,767","0",101.7,5.3,3.9,-0.9,7.9,2.75,-0.2,2.3,"4.3","231",78.8,8.2,6,3.9,6.8,7.5,6.6,6.2,8.6,5.6,6.2,6.1,7.1,83,37,"Benin","SSA","BEN",47,25,32,47,NA,NA,NA,NA,NA,32,NA,NA,37,83,5,9.91,4.43,25,47,29.6905,44.3095
"21","Bhutan","PF",3,4,3,4,3,10,3,4,2,1,10,3,3,4,10,0,1,29,2,2,2,3,9,2,1,1,4,3,1,1,1,6,2,2,2,2,8,27,56,2015,"Asia Pacific","BHU",760,"BTN",64,"sa",NA,NA,2,"Bhutan","0.605","Medium","69.5","132","12.6","3.0","7,176","-17",82.1,34.4,2.8,NA,8.1,0.66,2.7,6.7,"-29.9","116",78.7,6,6.9,7.9,6.8,6.9,5.7,5,6.6,6.5,5,7.5,7.9,27,65,"Bhutan","AP","BTN",70,60,66,NA,NA,NA,NA,NA,NA,63,NA,NA,65,27,4,4.27,2.14,60,70,61.469,68.531
"22","Bolivia","PF",3,3,4,4,3,11,3,2,3,3,11,3,2,2,7,0,0,29,2,4,4,4,14,3,3,3,9,1,1,2,2,6,3,2,3,2,10,39,68,2015,"Americas",NA,NA,NA,NA,NA,NA,NA,NA,"Bolivia (Plurinational State of)","0.662","Medium","68.3","119","13.2","8.2","5,760","4",96.3,39,5.7,-4.3,2.4,3.93,-2.4,1.4,NA,"798",78,6.7,3.8,6.5,6.4,8.6,5.4,7,6.9,5.9,6.6,8,6.2,99,34,"Bolivia","AME","BOL",47,25,36,NA,NA,NA,20,31,38,42,NA,NA,34,99,7,9.48,3.58,20,47,28.093,39.907
"23","Bosnia-Herzegovina","PF",4,3,3,3,2,8,3,3,2,2,10,2,2,1,5,0,0,23,2,3,2,3,10,3,2,2,7,3,2,3,2,10,3,2,3,2,10,37,60,2015,"Europe",NA,NA,NA,NA,NA,NA,NA,NA,"Bosnia and Herzegovina","0.733","High","76.5","85","13.6","8.3","9,638","19",91.3,60.8,1.8,-1.1,3,10.8,-0.3,0.6,"-3.2","529",77.4,6.1,7.3,7.1,5.5,5.6,5.8,7,4.1,5.8,6.2,8.7,8.2,76,38,"Bosnia and Herzegovina","ECA","BIH",NA,32,40,NA,NA,NA,34,NA,38,42,NA,42,38,76,6,4.2,1.71,32,42,35.1785,40.8215
"24","Botswana","F",3,2,3,4,3,10,3,2,3,2,10,3,3,2,8,0,0,28,2,4,3,3,12,4,4,2,10,3,3,3,3,12,3,3,2,3,11,45,73,2015,"Sub-Saharan Africa","BOT",571,"BWA",72,"ssa",NA,NA,1,"Botswana","0.698","Medium","64.5","106","12.5","8.9","16,646","-41",167.3,18.5,1.3,7.1,0.7,0.24,2,7.2,"-5.4","2,145",62.8,7.5,5.2,5.4,5.1,7.7,6.3,3.8,6,4.4,3.5,3.3,4.6,28,63,"Botswana","SSA","BWA",NA,59,58,NA,NA,NA,58,69,71,63,NA,NA,63,28,6,5.76,2.35,58,71,59.1225,66.8775
"25","Brazil","F",2,2,4,3,4,11,4,4,3,3,14,3,2,3,8,0,0,33,3,4,4,4,15,3,4,3,10,3,2,2,3,10,4,3,3,3,13,48,81,2015,"Americas","BRA",140,"BRA",76,"lac",4,4,4,"Brazil","0.755","High","74.5","75","15.2","7.7","15,175","-1",139,57.6,3.6,-4.1,0.1,0.11,-0.2,0.3,"-0.2","5,813",62.6,7.6,3.1,5.9,4.1,7.7,3.9,5.1,5.9,5.8,5.9,4.9,2.7,76,38,"Brazil","AME","BRA",NA,25,62,NA,25,NA,34,31,38,52,NA,NA,38,76,7,13.99,5.29,25,62,29.2715,46.7285
"26","Brunei","NF",6,5,0,0,0,0,1,0,1,1,3,0,2,1,3,1,0,7,1,1,2,2,6,1,1,1,3,1,2,2,1,6,2,2,2,2,8,23,30,2015,"Asia Pacific",NA,NA,NA,NA,NA,NA,NA,NA,"Brunei Darussalam","0.856","Very High","78.8","31","14.5","8.8","72,570","-26",110.1,68.8,5.6,-1,NA,NA,0.8,49.3,"-38.3","225",63,4.2,2.7,5.9,4.6,7.8,2.8,8,2.2,7.7,5.6,7.4,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Bulgaria","F",2,2,4,4,3,11,4,4,3,3,14,4,2,2,8,0,0,33,3,3,4,4,14,4,4,3,11,3,2,3,2,10,4,2,3,2,11,46,79,2015,"Europe","BUL",355,"BGR",100,"eca",2,NA,2,"Bulgaria","0.782","High","74.2","59","14.4","10.6","15,596","13",137.7,55.5,3.5,-2,NA,3.06,-1.4,1.2,"-4.6","6,898",55.4,4.2,3.5,5.2,4.6,4.9,6.2,5,4.2,3.4,4.1,5.3,4.8,69,41,"Bulgaria","WE/EU","BGR",NA,38,53,NA,32,49,32,41,38,42,NA,47,41,69,9,7.28,2.43,32,53,36.9905,45.0095
"28","Burkina Faso","PF",6,3,0,0,2,2,2,1,1,2,6,0,1,0,1,0,0,9,2,4,3,4,13,2,3,3,8,1,2,2,2,7,3,2,1,2,8,36,45,2015,"Sub-Saharan Africa","BFO",439,"BFA",854,"ssa",3,NA,3,"Burkina Faso","0.402","Low","58.7","183","7.8","1.4","1,591","-13",71.7,9.4,2.9,1.8,8.1,1.34,-1.5,4.1,"-2.0","218",89.2,9.1,7.1,5,6.9,8.1,7.1,8.1,8.9,6.2,7.4,7.8,7.5,76,38,"Burkina Faso","SSA","BFA",47,29,32,45,NA,NA,28,41,NA,42,NA,NA,38,76,7,7.87,2.97,28,47,33.0995,42.9005
"29","Burma","NF",6,6,0,2,1,3,2,2,1,1,6,2,0,1,3,0,3,9,1,1,1,3,6,1,2,1,4,0,1,0,0,1,2,1,1,1,5,16,25,2015,"Asia Pacific",NA,NA,NA,NA,NA,NA,NA,NA,"Myanmar","0.536","Low","65.9","148","8.6","4.1","4,608","-12",49.5,2.1,NA,NA,NA,NA,-0.4,0.2,"-1.0","2,044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,22,"Myanmar","AP","MMR",35,27,19,NA,NA,NA,19,21,21,11,NA,NA,22,147,7,7.47,2.82,11,35,17.347,26.653
"30","Burundi","NF",6,5,1,1,2,4,1,0,1,3,5,1,0,1,2,0,0,11,1,3,2,2,8,0,2,1,3,1,1,1,1,4,2,2,1,1,6,21,32,2015,"Sub-Saharan Africa","BUI",516,"BDI",108,"ssa",4,4,4,"Burundi","0.400","Low","56.7","184","10.1","2.7","758","1",30.5,1.4,0.3,NA,20.1,1.79,-0.4,2.5,"-3.5","142",98.1,9.2,9,8,6.8,7.7,8.5,8.4,8.3,8.2,7.7,7.9,8.4,150,21,"Burundi","SSA","BDI",23,28,19,25,NA,NA,NA,NA,NA,11,NA,NA,21,150,5,6.57,2.94,11,28,16.149,25.851
