"","Country.Territory","Status","PR.Rating","CL.Rating","A1","A2","A3","A.Aggr","B1","B2","B3","B4","B.Aggr","C1","C2","C3","C.Aggr","Add.A","Add.B","PR.Aggr","D1","D2","D3","D4","D.Aggr","E1","E2","E3","E.Aggr","F1","F2","F3","F4","F.Aggr","G1","G2","G3","G4","G.Aggr","CL.Aggr","Total.Aggr","Year.x","Region.x","pti.COW_Code_A","pti.COW_Code_N","pti.WordBank_Code_A","pti.UN_Code_N","pti.Region.y","pti.PTS_A","pti.PTS_H","pti.PTS_S","HDI.Country","unhdi.Human.Development.Index..HDI.","unhdi.Human.Dev.Category","unhdi.Life.expectancy.at.birth","unhdi.HDI.rank","unhdi.Expected.years.of.schooling","unhdi.Mean.years.of.schooling","unhdi.Gross.national.income..GNI..per.capita","unhdi.GNI.per.capita.rank.minus.HDI.rank","unhdi.Mobile.phone.subscriptions..per.100.people.","unhdi.Internet.users....of.population.","unhdi.Foreign.direct.investment..net.inflows....of.GDP.","unhdi.Private.capital.flows..","unhdi.Net.official.development.assistance.received","unhdi.Remittances..inflows","unhdi.Net.migration.rate","unhdi.Stock.of.immigrants","unhdi.International.student.mobility","unhdi.International.inbound.tourists","FSI_Total","FSI_Demographic.Pressures","FSI_Refugees.and.IDPs","FSI_Group.Grievance","FSI_Human.Flight","FSI_Uneven.Development","FSI_Poverty.and.Economic.Decline","FSI_Legitimacy.of.the.State","FSI_Public.Services","FSI_Human.Rights","FSI_Security.Apparatus","FSI_Factionalized.Elites","FSI_External.Intervention","TI_Rank","TI_CPI2015","TI_Country","TI_Region","TI_wbcode","TI_World.Bank.CPIA","TI_World.Economic.Forum.EOS","TI_Bertelsmann.Foundation.TI","TI_African.Dev.Bank","TI_IMD.World.Competitiveness.Yearbook","TI_Bertelsmann.Foundation.SGI","TI_World.Justice.Project.ROL","TI_PRS.International.Country.Risk.Guide","TI_Economist.Intelligence.Unit","TI_IHS.Global.Insight","TI_PERC.Asia.Risk.Guide","TI_Freedom.House.NIT","TI_CPI2015.2.","TI_Rank2","TI_Number.of.Sources","TI_Std.Deviation.of.Sources","TI_Standard.Error","TI_Minimum","TI_Maximum","TI_Lower.CI","TI_Upper.CI"
"31","Cambodia","NF",6,5,1,1,2,4,1,1,1,1,4,1,1,1,3,0,0,11,1,3,2,3,9,1,1,1,3,0,0,1,1,2,2,1,2,1,6,20,31,2015,"Asia Pacific","CAM",811,"KHM",116,"eap",2,3,2,"Cambodia","0.555","Medium","68.4","143","10.9","4.4","2,949","7",155.1,9,8.8,-8.4,5.6,1.15,-2.3,0.5,"-2.7","4,210",87.9,7,5.8,7.4,7.5,7.1,6.4,8.4,7.7,8.3,6.7,8.2,7.4,150,21,"Cambodia","AP","KHM",12,35,15,NA,NA,NA,10,NA,21,22,35,NA,21,150,7,10.24,3.87,10,35,14.6145,27.3855
"32","Cameroon","NF",6,6,1,1,1,3,1,0,1,1,3,1,1,1,3,0,0,9,1,2,2,2,7,1,1,1,3,0,1,1,0,2,1,1,1,1,4,16,25,2015,"Sub-Saharan Africa","CAO",471,"CMR",120,"ssa",3,NA,3,"Cameroon","0.512","Low","55.5","153","10.4","6.0","2,803","-1",75.7,11,1.1,-2.1,2.5,0.83,-0.5,1.3,"-8.0","912",94.3,8,7.8,8.1,7.5,7.8,6.2,8.4,8.8,8,7.6,9.1,7,130,27,"Cameroon","SSA","CMR",23,30,28,45,NA,NA,14,31,21,22,NA,NA,27,130,8,9.22,3.26,14,45,21.621,32.379
"33","Canada","F",1,1,4,4,4,12,4,4,4,4,16,4,3,4,11,0,0,39,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,4,4,16,59,98,2015,"Americas","CAN",20,"CAN",124,"na",1,1,1,"Canada","0.913","Very High","82.0","9","15.9","13.0","42,155","11",83,87.1,3.9,-2,NA,0.07,6.3,20.7,NA,"16,600",25.7,2.4,2,3.9,2.2,3,1.8,0.9,2,1.8,2.2,2.5,1,9,83,"Canada","AME","CAN",NA,79,NA,NA,79,81,79,89,88,83,NA,NA,83,9,7,4.31,1.63,79,89,80.3105,85.6895
"34","Cape Verde","F",1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,0,0,37,3,4,4,4,15,4,4,3,11,4,3,4,3,14,4,3,3,3,13,53,90,2015,"Sub-Saharan Africa","CAP",402,"CPV",132,"ssa",NA,NA,1,"Cabo Verde","0.646","Medium","73.3","122","13.5","4.7","6,094","-1",121.8,40.3,2.2,-1.4,13.4,9.34,-6.9,3,"-34.5","503",73.5,7.1,4.1,4,8.6,7.5,6.2,5.7,6.5,4.5,5.7,5.5,8.1,40,55,"Cape Verde","SSA","CPV",70,49,NA,60,NA,NA,NA,NA,NA,42,NA,NA,55,40,4,12.31,6.16,42,70,44.836,65.164
"35","Central African Republic","NF",7,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,2,1,4,0,0,1,1,0,0,0,0,0,0,0,1,0,1,6,6,2015,"Sub-Saharan Africa","CEN",482,"CAF",140,"ssa",4,NA,4,"Central African Republic","0.350","Low","50.7","187","7.2","4.2","581","1",31.4,4,0.1,NA,12.3,NA,0.4,2.9,"6.2","71",111.9,8.4,10,9.6,6.9,9.7,8.3,9.5,9.9,10,9.8,10,9.8,145,24,"Central African Republic","SSA","CAF",23,NA,28,22,NA,NA,NA,NA,NA,22,NA,NA,24,145,4,2.87,1.44,22,28,21.624,26.376
"36","Chad","NF",7,6,1,1,1,3,1,0,0,0,1,1,0,0,1,0,0,5,1,1,3,2,7,1,1,2,4,0,1,1,0,2,1,1,0,1,3,16,21,2015,"Sub-Saharan Africa","CHA",483,"TCD",148,"ssa",3,NA,3,"Chad","0.392","Low","51.6","185","7.4","1.9","2,085","-22",39.8,2.5,4,NA,3.1,NA,-1.9,3.4,"-11.9","100",108.4,9.7,10,8.2,8.6,9.1,7.8,9.3,9.7,9.4,8.8,9.5,8.3,147,22,"Chad","SSA","TCD",23,16,19,30,NA,NA,NA,NA,NA,22,NA,NA,22,147,5,5.24,2.34,16,30,18.139,25.861
"37","Chile","F",1,1,4,4,4,12,4,4,4,3,15,4,4,4,12,0,0,39,4,4,4,4,16,3,4,4,11,4,4,3,3,14,4,4,4,3,15,56,95,2015,"Americas","CHL",155,"CHL",152,"lac",2,2,1,"Chile","0.832","Very High","81.7","42","15.2","9.8","21,290","11",133.3,72.4,7.3,-5.2,0,0,0.3,2.3,"-0.5","3,576",41.5,5.1,2.1,4.1,3.2,5.1,3.6,3,4.5,3.4,3.1,1.7,2.6,23,70,"Chile","AME","CHL",NA,66,75,NA,60,65,68,79,71,73,NA,NA,70,23,8,6.09,2.15,60,79,66.4525,73.5475
"38","China (PRC)","NF",7,6,0,0,0,0,0,0,0,1,1,0,1,1,2,0,1,2,1,0,1,2,4,1,1,1,3,1,1,0,0,2,1,1,2,2,6,15,17,2015,"Asia Pacific",NA,NA,NA,NA,NA,NA,NA,NA,"China","0.727","High","75.8","90","13.1","7.5","12,547","-7",92.3,49.3,3.8,-2.7,0,0.42,-0.2,0.1,"-1.8","55,700",76.4,7.4,5.6,8.3,4.6,7.4,3.4,8,6.2,9.2,5.9,7.2,3.2,83,37,"China","AP","CHN",NA,49,36,NA,39,NA,28,31,38,32,41,NA,37,83,8,6.63,2.34,28,49,33.139,40.861
"39","Colombia","PF",3,4,4,3,3,10,3,3,2,3,11,3,2,3,8,0,0,29,2,4,3,3,12,2,2,1,5,3,1,1,2,7,3,2,3,2,10,34,63,2015,"Americas","COL",100,"COL",170,"lac",4,4,3,"Colombia","0.720","High","74.0","97","13.5","7.3","12,040","-9",113.1,52.6,4.3,-4.1,0.2,1.09,-0.5,0.3,NA,"2,288",82.5,6.9,7.8,8,6.7,7.5,3.8,7.1,6,7.3,7.3,7.6,6.5,83,37,"Colombia","AME","COL",NA,36,45,NA,31,NA,33,41,38,32,NA,NA,37,83,7,5.13,1.94,31,45,33.799,40.201
"40","Comoros","PF",3,4,3,3,3,9,3,3,3,2,11,3,1,1,5,0,0,25,2,2,3,3,10,2,2,2,6,2,2,2,2,8,2,2,1,1,6,30,55,2015,"Sub-Saharan Africa","COM",581,"COM",174,"ssa",NA,NA,1,"Comoros","0.503","Low","63.3","159","11.5","4.6","1,456","16",50.9,7,2.3,-1.6,13.3,20.02,-2.8,1.7,"-70.5","19",83.3,7.6,4.5,5,7.8,7,8,6.8,8,6.1,7.2,7.5,7.8,136,26,"Comoros","SSA","COM",23,NA,NA,12,NA,NA,NA,NA,NA,42,NA,NA,26,136,3,15.18,8.76,12,42,11.546,40.454
"41","Congo (Brazzaville)","NF",6,5,0,1,0,1,1,0,1,1,3,1,1,1,3,0,0,7,1,3,2,2,8,1,2,3,6,0,1,1,0,2,2,2,2,1,7,23,30,2015,"Sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,"Congo","0.591","Medium","62.3","136","11.1","6.1","6,012","-14",NA,NA,14.5,-31.4,1.4,0.18,-2.1,9.7,"-20.9","297",109.7,9.5,9.4,9.5,7.1,8.8,7.9,9,9.7,10,9.5,9.5,9.8,146,23,"Congo Republic","SSA","COG",12,NA,19,42,NA,NA,NA,21,21,22,NA,NA,23,146,6,10.07,4.11,12,42,16.2185,29.7815
"42","Congo (Kinshasa)","NF",6,6,1,1,1,3,1,1,1,1,4,1,0,1,2,0,0,9,1,3,2,2,8,1,1,1,3,0,0,0,0,0,2,1,1,1,5,16,25,2015,"Sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,"Congo (Democratic Republic of the)","0.433","Low","58.7","176","9.8","6.0","680","11",53.5,3,5.2,-5.2,8.6,0.1,-0.2,0.7,"-0.1","191",90.8,7.8,8.3,6.6,6.8,8.2,6.4,8.7,9.1,7.9,6.7,6.7,7.6,147,22,"Democratic Republic of the Congo","SSA","COD",12,NA,19,37,NA,NA,NA,21,21,22,NA,NA,22,147,6,8.2,3.35,12,37,16.4725,27.5275
"43","Costa Rica","F",1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,0,0,37,4,4,4,4,16,4,4,3,11,4,3,3,3,13,4,3,3,3,13,53,90,2015,"Americas","COS",94,"CRI",188,"lac",NA,NA,1,"Costa Rica","0.766","High","79.4","69","13.9","8.4","13,413","10",143.8,49.4,6.5,-9.7,0.1,1.2,2.7,8.6,"-0.1","2,428",46.7,4.1,3.9,4.7,3.5,5.5,4.3,2.9,4.5,2.1,3.1,3.8,4.3,40,55,"Costa Rica","AME","CRI",NA,48,66,NA,NA,NA,59,50,54,52,NA,NA,55,40,6,6.65,2.71,48,66,50.5285,59.4715
"44","Cote d'Ivoire","PF",5,4,2,2,2,6,2,2,1,2,7,2,1,1,4,0,0,17,2,2,3,3,10,2,3,2,7,1,1,2,2,6,2,2,1,1,6,29,46,2015,"Sub-Saharan Africa","CDI",437,"CIV",384,"ssa",3,3,3,"Côte d'Ivoire","0.462","Low","51.5","172","8.9","4.3","3,171","-24",106.3,14.6,1.2,-3.1,4.2,1.5,0.5,12,"0.2","289",100,8.1,9,8.7,6.7,7.9,7.1,8.5,9,7.9,8.3,9.1,9.7,107,32,"Côte d´Ivoire","SSA","CIV",35,46,28,32,NA,NA,26,31,38,22,NA,NA,32,107,8,7.5,2.65,22,46,27.6275,36.3725
"45","Crimea","NF",7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,1,1,3,2,7,11,10,2015,"Eurasia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Croatia","F",1,2,4,4,4,12,4,4,4,3,15,4,2,3,9,0,0,36,3,3,4,4,14,4,4,4,12,3,3,3,2,11,4,3,3,3,13,50,86,2015,"Europe","CRO",344,"HRV",191,"eca",1,NA,1,"Croatia","0.818","Very High","77.3","47","14.8","11.0","19,409","11",104.4,68.6,1,-5.7,0.3,2.59,-0.9,17.6,"-5.2","11,000",51,3.6,4.9,5.7,4.5,3.8,5.3,3.4,2.9,4.1,4,4.4,4.4,50,51,"Croatia","WE/EU","HRV",NA,46,62,NA,41,57,50,50,54,52,NA,50,51,50,9,6.06,2.02,41,62,47.667,54.333
"47","Cuba","NF",7,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2,0,1,4,0,0,0,0,0,1,1,1,3,1,1,3,1,6,13,14,2015,"Americas","CUB",40,"CUB",192,"lac",3,3,3,"Cuba","0.769","High","79.4","67","13.8","11.5","7,301","47",22.5,30,NA,NA,0.1,NA,-2.5,0.1,"4.1","2,829",67.4,5.6,4.5,4.5,5.7,5.9,4.5,7,4.7,7.3,5.7,7,5,56,47,"Cuba","AME","CUB",NA,NA,40,NA,NA,NA,NA,41,54,52,NA,NA,47,56,4,7.27,3.64,40,54,40.994,53.006
"48","Cyprus","F",1,1,4,4,3,11,4,4,4,4,16,3,3,4,10,0,0,37,4,4,3,4,15,4,4,4,12,4,4,4,3,15,3,4,4,3,14,56,93,2015,"Europe","CYP",352,"CYP",196,"eca",2,NA,2,"Cyprus","0.850","Very High","80.2","32","14.0","11.6","28,633","3",96.3,69.3,2.8,-71.9,NA,0.38,6.2,18.2,"-61.0","2,405",66.2,4,4.5,7,4.5,6.4,6.7,5.3,3,3.3,4.4,7.9,9.2,32,61,"Cyprus","WE/EU","CYP",NA,55,NA,NA,NA,49,NA,69,71,63,NA,NA,61,32,5,9.32,4.17,49,71,54.1195,67.8805
"49","Czech Republic","F",1,1,4,4,4,12,4,4,4,3,15,4,3,4,11,0,0,38,4,4,4,4,16,4,4,4,12,3,4,4,3,14,4,4,4,3,15,57,95,2015,"Europe","CZR",316,"CZE",203,"eca",1,NA,1,"Czech Republic","0.870","Very High","78.6","28","16.4","12.3","26,660","10",130,79.7,2.4,-3.1,NA,1.09,3.8,4,"6.5","9,004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,56,"Czech Republic","WE/EU","CZE",NA,53,66,NA,44,57,59,50,54,63,NA,55,56,37,9,6.63,2.21,44,66,52.3535,59.6465
"50","Denmark","F",1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,0,40,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,3,4,15,58,98,2015,"Europe","DEN",390,"DNK",208,"eca",1,NA,1,"Denmark","0.923","Very High","80.2","4","18.7","12.7","44,025","11",126,96,0.5,-0.1,NA,0.43,2.7,9.9,"8.3","8,557",21.5,2.5,1.4,3.6,1.9,2.1,2.5,0.5,1.4,1.3,1.5,1.4,1.4,1,91,"Denmark","WE/EU","DNK",NA,89,NA,NA,96,97,88,98,88,83,NA,NA,91,1,7,5.71,2.16,83,98,87.436,94.564
"51","Djibouti","NF",6,5,1,1,1,3,1,0,1,1,3,1,1,1,3,0,0,9,1,1,2,2,6,0,1,2,3,0,2,1,1,4,2,2,1,1,6,19,28,2015,"Sub-Saharan Africa","DJI",522,"DJI",262,"mena",NA,NA,3,"Djibouti","0.470","Low","62.0","168","6.4","3.8","3,276","-22",32.4,10.7,19.6,NA,9.6,2.45,-3.7,14.2,"-39.3","63",88.1,8.2,7.1,6.6,5.8,7.8,7.4,7.6,7.8,7.2,6.9,7.3,8.4,99,34,"Djibouti","SSA","DJI",23,NA,NA,27,NA,NA,NA,NA,NA,52,NA,NA,34,99,3,15.72,9.08,23,52,19.018,48.982
"52","Dominica","F",1,1,4,4,4,12,4,4,4,4,16,4,3,3,10,0,0,38,3,4,4,4,15,4,4,4,12,4,4,4,3,15,4,4,3,4,15,57,95,2015,"Americas","DMA",54,"DMA",212,"lac",NA,NA,1,"Dominica","0.724","High","77.8","94","12.7","7.9","9,994","4",127.5,62.9,3.5,-0.3,4,4.56,NA,8.9,NA,"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Dominican Republic","F",2,3,4,3,3,10,4,3,3,1,11,4,2,3,9,0,0,30,3,4,4,4,15,3,4,3,10,3,2,2,1,8,3,3,2,2,10,43,73,2015,"Americas","DOM",42,"DOM",214,"lac",3,2,3,"Dominican Republic","0.715","High","73.5","101","13.1","7.6","11,883","-12",78.9,49.6,2.6,-6.1,0.3,7.33,-2.7,3.9,"2.7","4,690",71.2,6.8,3.8,5.8,7.6,6.3,5.3,6,6.8,5.5,5.2,6.2,5.9,103,33,"Dominican Republic","AME","DOM",NA,29,32,NA,NA,NA,24,31,38,42,NA,NA,33,103,6,6.44,2.63,24,42,28.6605,37.3395
"54","East Timor","PF",3,3,4,4,3,11,3,3,3,3,12,2,2,2,6,0,0,29,2,3,4,3,12,3,3,2,8,1,1,3,2,7,3,2,2,2,9,36,65,2015,"Asia Pacific","ETM",860,"TMP",626,"eap",3,NA,2,"Timor-Leste","0.595","Medium","68.2","133","11.7","4.4","5,363","-6",58.7,1.1,1.6,178.6,6,9.44,-13.3,1,NA,"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,28,"Timor-Leste","AP","TLS",23,38,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,28,123,3,8.96,5.17,22,38,19.4695,36.5305
"55","Ecuador","PF",3,3,3,3,1,7,3,2,3,3,11,3,1,2,6,0,0,24,1,4,4,3,12,2,2,3,7,1,1,2,2,6,3,2,3,2,10,35,59,2015,"Americas","ECU",130,"ECU",218,"lac",2,2,3,"Ecuador","0.732","High","75.9","88","14.2","7.6","10,605","7",103.9,43,0.8,0.2,0.2,2.6,-0.4,2.3,"-1.3","1,364",75.9,5.7,5.2,7.8,6.2,6.8,5.3,7,6.3,5.1,6.7,8.2,5.6,107,32,"Ecuador","AME","ECU",NA,43,32,NA,NA,NA,30,31,21,32,NA,NA,32,107,6,7.01,2.86,21,43,27.281,36.719
"56","Egypt","NF",6,5,1,0,1,2,1,0,1,2,4,0,1,1,2,0,0,8,1,1,1,2,5,1,1,2,4,1,0,0,1,2,2,2,2,1,7,18,26,2015,"Middle East and North Africa","EGY",651,"EGY",818,"mena",4,4,4,"Egypt","0.690","Medium","71.1","108","13.5","6.6","10,512","-12",114.3,31.7,2,-0.2,2.1,7.32,-0.5,0.4,"1.0","9,174",90,7.1,6.7,8.7,4.7,6.5,8.1,8.7,5.4,9.8,8.2,9,7.1,88,36,"Egypt","MENA","EGY",NA,47,32,NA,NA,NA,35,31,38,32,NA,NA,36,88,6,6.05,2.47,31,47,31.9245,40.0755
"57","El Salvador","F",2,3,4,4,4,12,4,4,3,3,14,3,3,3,9,0,0,35,3,4,4,4,15,3,3,2,8,3,2,1,2,8,3,2,2,2,9,40,75,2015,"Americas","SAL",92,"SLV",222,"lac",1,NA,3,"El Salvador","0.666","Medium","73.0","116","12.3","6.5","7,349","-3",144,29.7,0.8,-0.7,0.7,16.37,-7.1,0.7,"-1.3","1,283",71.4,6.9,5.1,6.3,6.9,6.6,5.9,4.8,6.7,6.1,6.5,4.3,5.3,72,39,"El Salvador","AME","SLV",NA,37,45,NA,NA,NA,29,41,38,42,NA,NA,39,72,6,5.54,2.26,29,45,35.271,42.729
"58","Equatorial Guinea","NF",7,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,1,1,4,0,0,0,0,0,0,0,0,0,1,1,1,0,3,7,8,2015,"Sub-Saharan Africa","EQG",411,"GNQ",226,"ssa",3,NA,3,"Equatorial Guinea","0.587","Medium","57.6","138","9.0","5.5","21,056","-84",66.4,18.9,12.3,NA,0.1,NA,5.3,1.3,NA,"0",84.8,7.7,3.3,6.3,6,9,5.2,9.8,7.1,9.7,7,8.2,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Eritrea","NF",7,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,3,2015,"Sub-Saharan Africa","ERI",531,"ERI",232,"ssa",5,4,5,"Eritrea","0.391","Low","63.7","186","4.1","3.9","1,130","-6",6.4,1,1.3,NA,2.5,NA,1.8,0.2,NA,"107",96.9,8.8,7.8,6.1,7.6,7.2,8.3,9.1,8.7,9.3,7.7,8.1,8.2,154,18,"Eritrea","SSA","ERI",12,NA,10,7,NA,NA,NA,NA,NA,42,NA,NA,18,154,4,16.3,8.15,7,42,4.5525,31.4475
"60","Estonia","F",1,1,4,4,4,12,4,4,4,3,15,4,4,4,12,0,0,39,4,4,4,4,16,4,4,4,12,4,3,4,3,14,4,4,3,3,14,56,95,2015,"Europe","EST",366,"EST",233,"eca",1,NA,1,"Estonia","0.861","Very High","76.8","30","16.5","12.5","25,214","12",160.7,84.2,3.9,0.3,NA,1.72,0,16.3,"-3.5","2,868",43.8,3.3,2.9,6.5,3.5,3.7,3.6,3.2,3.4,2,3.1,5.5,3.1,23,70,"Estonia","WE/EU","EST",NA,79,75,NA,73,81,71,69,54,63,NA,66,70,23,9,8.36,2.79,54,81,65.3965,74.6035
"61","Ethiopia","NF",6,6,0,0,1,1,0,0,1,1,2,1,2,1,4,0,0,7,0,2,1,0,3,0,0,0,0,1,1,0,1,3,2,1,1,1,5,11,18,2015,"Sub-Saharan Africa","ETH",530,"ETH",231,"ssa",4,3,3,"Ethiopia","0.442","Low","64.1","174","8.5","2.4","1,428","2",31.6,2.9,2,NA,8.1,1.44,-0.1,0.8,NA,"681",97.5,9.2,9.4,8.5,7,7.1,6.9,7.4,8.6,8.5,8.4,8.6,7.9,103,33,"Ethiopia","SSA","ETH",35,42,23,42,NA,NA,32,31,38,22,NA,NA,33,103,8,7.72,2.73,22,42,28.4955,37.5045
"62","Fiji","PF",3,4,3,3,3,9,3,2,3,3,11,3,2,1,6,0,0,26,2,3,3,3,11,2,1,1,4,2,2,3,2,9,3,3,2,2,10,34,60,2015,"Asia Pacific","FIJ",950,"FJI",242,"eap",2,NA,1,"Fiji","0.727","High","70.0","90","15.7","9.9","7,493","21",98.8,41.8,4.1,-14.1,2.4,5.28,-6.6,2.6,"20.1","658",76.8,4.7,3.4,7,7.6,6.8,6.7,7.4,4.5,6.9,6.7,7.9,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Finland","F",1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,0,40,4,4,4,4,16,4,4,4,12,4,4,4,4,16,4,4,4,4,16,60,100,2015,"Europe","FIN",375,"FIN",246,"eca",1,NA,1,"Finland","0.883","Very High","80.8","24","17.1","10.3","38,695","0",139.7,92.4,-2,0.7,NA,0.4,1.8,5.4,"4.4","4,226",17.8,1.5,1.5,1.6,2.3,1,3.8,0.5,1.2,0.9,1.4,1.1,1,2,90,"Finland","WE/EU","FIN",NA,93,NA,NA,91,89,88,98,88,83,NA,NA,90,2,7,4.69,1.77,83,98,87.0795,92.9205
"64","France","F",1,1,4,4,4,12,4,4,4,3,15,4,3,4,11,0,0,38,4,3,4,4,15,4,4,4,12,4,4,4,3,15,4,4,4,3,15,57,95,2015,"Europe","FRN",220,"FRA",250,"eca",2,NA,1,"France","0.888","Very High","82.2","22","16.0","11.1","38,056","4",100.4,83.8,0.2,-3.6,NA,0.83,2,11.6,"6.6","84,700",33.7,2.8,2.2,6.8,2.2,3.7,4.8,1.8,1.5,2.3,2.3,1.9,1.4,23,70,"France","WE/EU","FRA",NA,70,NA,NA,71,57,71,79,71,73,NA,NA,70,23,7,6.6,2.49,57,79,65.8915,74.1085
"65","Gabon","NF",6,5,0,1,1,2,1,1,1,1,4,1,1,1,3,0,0,9,1,3,3,3,10,1,1,2,4,1,2,2,1,6,2,1,1,1,5,25,34,2015,"Sub-Saharan Africa","GAB",481,"GAB",266,"ssa",NA,NA,2,"Gabon","0.684","Medium","64.4","110","12.5","7.8","16,367","-42",210.4,9.8,4.4,-2,0.5,0.13,0.6,23.6,"-38.3","269",71.3,7.1,5,3.7,5.5,6.9,4.8,7.4,6.8,6.9,5,7.1,5.1,99,34,"Gabon","SSA","GAB",NA,36,NA,NA,NA,NA,NA,31,38,32,NA,NA,34,99,4,3.3,1.65,31,38,31.2775,36.7225
