"","Country.Territory","Status","PR.Rating","CL.Rating","A1","A2","A3","A.Aggr","B1","B2","B3","B4","B.Aggr","C1","C2","C3","C.Aggr","Add.A","Add.B","PR.Aggr","D1","D2","D3","D4","D.Aggr","E1","E2","E3","E.Aggr","F1","F2","F3","F4","F.Aggr","G1","G2","G3","G4","G.Aggr","CL.Aggr","Total.Aggr","Year.x","Region.x","pti.COW_Code_A","pti.COW_Code_N","pti.WordBank_Code_A","pti.UN_Code_N","pti.Region.y","pti.PTS_A","pti.PTS_H","pti.PTS_S","HDI.Country","unhdi.Human.Development.Index..HDI.","unhdi.Human.Dev.Category","unhdi.Life.expectancy.at.birth","unhdi.HDI.rank","unhdi.Expected.years.of.schooling","unhdi.Mean.years.of.schooling","unhdi.Gross.national.income..GNI..per.capita","unhdi.GNI.per.capita.rank.minus.HDI.rank","unhdi.Mobile.phone.subscriptions..per.100.people.","unhdi.Internet.users....of.population.","unhdi.Foreign.direct.investment..net.inflows....of.GDP.","unhdi.Private.capital.flows..","unhdi.Net.official.development.assistance.received","unhdi.Remittances..inflows","unhdi.Net.migration.rate","unhdi.Stock.of.immigrants","unhdi.International.student.mobility","unhdi.International.inbound.tourists","FSI_Total","FSI_Demographic.Pressures","FSI_Refugees.and.IDPs","FSI_Group.Grievance","FSI_Human.Flight","FSI_Uneven.Development","FSI_Poverty.and.Economic.Decline","FSI_Legitimacy.of.the.State","FSI_Public.Services","FSI_Human.Rights","FSI_Security.Apparatus","FSI_Factionalized.Elites","FSI_External.Intervention","TI_Rank","TI_CPI2015","TI_Country","TI_Region","TI_wbcode","TI_World.Bank.CPIA","TI_World.Economic.Forum.EOS","TI_Bertelsmann.Foundation.TI","TI_African.Dev.Bank","TI_IMD.World.Competitiveness.Yearbook","TI_Bertelsmann.Foundation.SGI","TI_World.Justice.Project.ROL","TI_PRS.International.Country.Risk.Guide","TI_Economist.Intelligence.Unit","TI_IHS.Global.Insight","TI_PERC.Asia.Risk.Guide","TI_Freedom.House.NIT","TI_CPI2015.2.","TI_Rank2","TI_Number.of.Sources","TI_Std.Deviation.of.Sources","TI_Standard.Error","TI_Minimum","TI_Maximum","TI_Lower.CI","TI_Upper.CI"
"137","Pakistan","PF",4,5,3,2,2,7,3,3,1,1,8,1,1,3,5,0,0,20,1,1,1,2,5,3,2,2,7,2,1,0,1,4,2,2,1,1,6,22,42,2015,"Asia Pacific","PAK",770,"PAK",586,"sa",4,4,4,"Pakistan","0.538","Low","66.2","147","7.8","4.7","4,866","-14",73.3,13.8,0.6,-0.5,0.9,6.3,-1.8,2.2,"-5.3","966",102.9,9,8.9,10,7,7.3,7.7,8.6,7.9,8.4,9.6,9.2,9.3,117,30,"Pakistan","AP","PAK",23,34,19,NA,NA,NA,26,31,38,42,NA,NA,30,117,7,8.26,3.12,19,42,24.852,35.148
"138","Pakistani Kashmir","NF",6,5,1,2,1,4,1,1,1,1,4,1,1,1,3,0,2,9,1,1,2,2,6,1,1,2,4,1,1,1,1,4,2,2,1,1,6,20,29,2015,"Asia Pacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Palau","F",1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,0,0,37,4,4,4,4,16,4,4,3,11,4,4,4,3,15,4,3,3,3,13,55,92,2015,"Asia Pacific","PAL",986,"PLW",585,"eap",NA,NA,1,"Palau","0.780","High","72.7","60","13.7","12.3","13,496","18",90.6,NA,2.3,NA,14.8,NA,NA,26.7,NA,"105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Panama","F",2,2,4,4,4,12,4,4,4,3,15,4,2,2,8,0,0,35,3,4,4,4,15,4,4,3,11,2,2,3,2,9,4,3,3,2,12,47,82,2015,"Americas","PAN",95,"PAN",591,"lac",1,NA,1,"Panama","0.780","High","77.6","60","13.3","9.3","18,192","1",158.1,44.9,11.8,-11.1,0,1.06,1.5,4.1,NA,"1,658",54.6,5.7,3.5,5.6,4,7.3,3.4,4,5.5,4.8,5.1,2.5,3.2,72,39,"Panama","AME","PAN",NA,41,36,NA,NA,NA,34,31,38,52,NA,NA,39,72,6,7.37,3.01,31,52,34.0335,43.9665
"141","Papua New Guinea","PF",4,3,3,3,3,9,3,3,2,2,10,2,1,1,4,0,0,23,3,3,3,3,12,3,3,3,9,2,1,2,2,7,3,1,2,2,8,36,59,2015,"Asia Pacific","PNG",910,"PNG",598,"eap",2,2,2,"Papua New Guinea","0.505","Low","62.6","158","9.9","4.0","2,463","-1",44.9,9.4,0.1,-4,4.5,0.09,0,0.3,NA,"174",83.4,7.3,4.6,6.3,7.1,9,6.2,6.9,8.7,6.6,6.9,7.1,6.7,139,25,"Papua New Guinea","AP","PNG",35,NA,28,NA,NA,NA,NA,31,21,11,NA,NA,25,139,5,9.44,4.22,11,35,18.037,31.963
"142","Paraguay","PF",3,3,3,4,3,10,3,4,3,2,12,2,1,2,5,0,0,27,2,4,3,3,12,3,3,2,8,2,1,2,2,7,3,3,3,2,11,38,65,2015,"Americas","PAR",150,"PRY",600,"lac",1,NA,2,"Paraguay","0.679","Medium","72.9","112","11.9","7.7","7,643","-3",105.6,43,1.2,-3,0.5,2.04,-1.2,2.7,NA,"610",71.3,5.9,2.2,5.9,5.2,8.4,5.1,7.1,6.7,6.1,6.5,7.8,4.4,130,27,"Paraguay","AME","PRY",NA,25,36,NA,NA,NA,NA,31,21,22,NA,NA,27,130,5,6.36,2.84,21,36,22.314,31.686
"143","Peru","F",2,3,3,4,3,10,4,4,3,2,13,3,2,2,7,0,0,30,3,4,4,4,15,3,3,2,8,2,2,2,2,8,3,3,2,2,10,41,71,2015,"Americas","PER",135,"PER",604,"lac",2,2,2,"Peru","0.734","High","74.6","84","13.1","9.0","11,015","8",102.9,40.2,4.6,-7.1,0.2,1.34,-2,0.3,NA,"3,164",71.9,5.3,4.8,7.5,6.7,7.3,3.7,7.1,7.1,4.6,7.1,6.7,4,88,36,"Peru","AME","PER",NA,44,45,NA,30,NA,24,31,38,42,NA,NA,36,88,7,8.06,3.05,24,45,30.9675,41.0325
"144","Philippines","PF",3,3,3,3,3,9,2,3,2,3,10,3,2,2,7,0,0,26,2,4,4,4,14,3,2,3,8,2,1,1,1,5,3,2,3,2,10,37,63,2015,"Asia Pacific","PHI",840,"PHL",608,"eap",3,5,4,"Philippines","0.668","Medium","68.2","115","11.3","8.9","7,915","-7",111.2,39.7,1.3,-0.3,0.1,9.81,-1.4,0.2,"-0.2","4,681",86.3,8.2,7.4,8.3,6.2,6.2,6,7.5,7.2,5.9,9.1,8,6.3,95,35,"Philippines","AP","PHL",NA,36,36,NA,33,NA,23,41,38,32,37,NA,35,95,8,5.42,1.92,23,41,31.832,38.168
"145","Poland","F",1,1,4,4,4,12,4,4,4,4,16,4,3,3,10,0,0,38,4,4,4,4,16,4,4,4,12,3,3,4,3,13,4,4,3,3,14,55,93,2015,"Europe","POL",290,"POL",616,"eca",1,NA,1,"Poland","0.843","Very High","77.4","36","15.5","11.8","23,177","10",156.5,66.6,-0.9,0,NA,1.33,-0.2,1.7,"0.2","15,800",39.8,3.3,2.8,4.4,4.4,3.5,4.1,3.2,2.8,2.5,2.3,3.8,2.7,30,62,"Poland","WE/EU","POL",NA,58,71,NA,58,65,67,60,54,73,NA,55,62,30,9,6.93,2.31,54,73,58.1885,65.8115
"146","Portugal","F",1,1,4,4,4,12,4,4,4,4,16,4,3,4,11,0,0,39,4,4,4,4,16,4,4,4,12,4,4,3,4,15,4,4,4,3,15,58,97,2015,"Europe","POR",235,"PRT",620,"eca",1,NA,1,"Portugal","0.830","Very High","80.9","43","16.3","8.2","25,757","-2",111.8,64.6,3.5,-0.2,NA,1.92,1.9,8.4,"1.4","8,097",29.7,2.6,1.6,2.6,2.2,2.9,5.1,1.8,2.7,2.3,1.6,1.8,2.5,28,63,"Portugal","WE/EU","PRT",NA,62,NA,NA,58,57,68,69,54,73,NA,NA,63,28,7,7.12,2.69,54,73,58.5615,67.4385
"147","Puerto Rico","F",1,2,4,4,4,12,4,4,3,4,15,3,3,4,10,0,0,37,4,4,4,4,16,3,4,3,10,3,4,2,3,12,4,4,3,3,14,52,89,2015,"Americas",NA,NA,"PRI",630,"lac",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","Qatar","NF",6,5,0,1,1,2,0,0,1,1,2,0,2,1,3,3,0,10,2,2,2,2,8,1,0,1,2,1,1,2,0,4,1,1,1,1,4,18,28,2015,"Middle East and North Africa","QAT",694,"QAT",634,"mena",2,1,2,"Qatar","0.850","Very High","78.2","32","13.8","9.1","123,124","-31",145.8,91.5,-0.4,11.4,NA,0.28,48.8,73.8,"16.6","2,611",46.3,4.3,1.8,4.6,3.1,5.2,2.6,6,1.8,6.2,2.5,5,3.2,22,71,"Qatar","MENA","QAT",NA,83,40,NA,79,NA,NA,69,71,83,NA,NA,71,22,6,16.23,6.63,40,83,60.0605,81.9395
"149","Romania","F",2,2,4,4,3,11,4,4,3,3,14,4,3,2,9,0,0,34,3,3,4,4,14,4,4,3,11,3,3,3,3,12,4,2,3,3,12,49,83,2015,"Europe","ROM",360,"ROM",642,"eca",2,NA,2,"Romania","0.793","High","74.7","52","14.2","10.8","18,108","10",105.9,54.1,2.2,-6,NA,1.86,-0.4,0.9,"-1.4","8,019",54.2,3.7,2.7,6.8,4.5,4.7,5.2,5.6,4.3,3.9,3.5,5.2,4.1,58,46,"Romania","WE/EU","ROM",NA,36,62,NA,37,57,45,41,38,42,NA,52,46,58,9,9.34,3.11,36,62,40.8685,51.1315
"150","Russia","NF",6,6,0,1,0,1,1,0,1,1,3,1,1,1,3,0,0,7,0,1,1,2,4,1,1,2,4,1,1,0,0,2,1,1,2,2,6,16,23,2015,"Eurasia",NA,NA,NA,NA,NA,NA,NA,NA,"Russian Federation","0.798","High","70.1","50","14.7","12.0","22,352","-1",155.1,70.5,3.4,1.3,NA,0.32,1.5,7.7,"1.2","30,800",80,5.1,5.7,9.3,4.5,6.4,4.4,7.9,4.7,8.9,9.1,8.1,5.9,119,29,"Russia","ECA","RUS",NA,38,28,NA,33,NA,28,21,38,22,NA,21,29,119,8,7.13,2.52,21,38,24.842,33.158
"151","Rwanda","NF",6,6,0,1,1,2,0,0,1,1,2,1,2,2,5,0,0,9,0,3,1,0,4,0,1,1,2,0,2,0,1,3,2,2,2,1,7,16,25,2015,"Sub-Saharan Africa","RWA",517,"RWA",646,"ssa",2,2,3,"Rwanda","0.483","Low","64.2","163","10.3","3.7","1,458","11",64,10.6,1.5,-1.5,14.6,2.26,-0.8,3.8,"-5.7","864",90.2,8,7.9,8.8,7.5,8.2,6.3,6.5,7.3,7.7,6.2,8,7.8,44,54,"Rwanda","SSA","RWA",47,78,40,55,NA,NA,NA,NA,NA,52,NA,NA,54,44,5,14.36,6.42,40,78,43.407,64.593
"152","Samoa","F",2,2,3,3,3,9,3,4,3,3,13,4,3,3,10,0,0,32,3,3,4,4,14,4,3,3,10,3,3,4,3,13,3,3,3,3,12,49,81,2015,"Asia Pacific","WSM",990,"WSM",882,"eap",NA,NA,1,"Samoa","0.702","High","73.4","105","12.9","10.3","5,327","24",55.5,21.2,3,-2.8,15.3,19.71,-13.4,3,NA,"116",68.2,6.2,2.1,4.5,8.9,5.4,6.5,6.2,5,4.5,5.2,5.1,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","San Marino","F",1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,0,40,4,4,4,4,16,4,4,4,12,4,4,4,4,16,4,4,4,4,16,60,100,2015,"Europe","SNM",331,"SMR",674,"eca",NA,NA,1,"San Marino","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",118.9,NA,NA,NA,NA,NA,NA,15.4,NA,"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Sao Tome and Principe","F",2,2,4,4,3,11,4,4,3,3,14,4,2,3,9,0,0,34,3,4,4,4,15,4,3,3,10,3,3,3,3,12,3,3,2,2,10,47,81,2015,"Sub-Saharan Africa","STP",403,"STP",678,"ssa",NA,NA,1,"Sao Tome and Principe","0.555","Medium","66.5","143","11.3","4.7","2,918","8",64.9,24.4,3.4,-1.4,16.8,8.53,-1.6,3.3,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,42,"Sao Tome and Principe","SSA","STP",47,NA,NA,47,NA,NA,NA,NA,NA,32,NA,NA,42,66,3,8.66,5,32,47,33.75,50.25
"155","Saudi Arabia","NF",7,7,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,3,0,0,1,2,3,0,0,0,0,1,1,0,0,2,0,1,0,1,2,7,10,2015,"Middle East and North Africa","SAU",670,"SAU",682,"mena",4,3,3,"Saudi Arabia","0.837","Very High","74.3","39","16.3","8.7","52,821","-27",179.6,63.7,1.2,0.3,0,0.04,2.1,31.4,"-0.8","13,400",71.6,5.8,4.6,7.4,3.7,5.8,4.4,7.8,3.7,9.2,6.4,8,4.8,48,52,"Saudi Arabia","MENA","SAU",NA,77,36,NA,NA,NA,NA,50,54,42,NA,NA,52,48,5,15.72,7.03,36,77,40.4005,63.5995
"156","Senegal","F",2,2,4,4,3,11,3,4,3,3,13,3,3,3,9,0,0,33,3,4,4,4,15,3,4,3,10,2,3,3,2,10,3,3,2,2,10,45,78,2015,"Sub-Saharan Africa","SEN",433,"SEN",686,"ssa",2,NA,2,"Senegal","0.466","Low","66.5","170","7.9","2.5","2,188","-8",98.8,17.7,2,-8.1,6.7,11.18,-1.4,1.5,NA,"1,063",83,8,7.8,6.3,7.4,7.3,7.3,5.5,7.9,6.2,6.2,6.6,6.5,61,44,"Senegal","SSA","SEN",47,43,53,45,NA,NA,38,41,54,32,NA,NA,44,61,8,7.38,2.61,32,54,39.6935,48.3065
"157","Seychelles","PF",3,3,3,3,2,8,3,2,3,2,10,3,2,2,7,0,0,25,2,3,3,3,11,3,3,3,9,2,3,3,3,11,3,3,2,3,11,42,67,2015,"Sub-Saharan Africa","SEY",591,"SYC",690,"ssa",NA,NA,2,"Seychelles","0.772","High","73.1","64","13.4","9.4","23,300","-19",162.2,54.3,12.3,-11.8,1.8,0.89,-3.4,13,"-198.3","230",62.1,5.1,3.1,4.5,5.5,6,4.6,5.7,3.2,4.6,6.6,5.7,7.5,40,55,"Seychelles","SSA","SYC",NA,42,NA,NA,NA,NA,NA,NA,71,52,NA,NA,55,40,3,14.73,8.5,42,71,40.975,69.025
"158","Sierra Leone","PF",3,3,3,3,4,10,2,3,3,3,11,3,1,3,7,0,0,28,2,4,3,3,12,2,3,2,7,2,2,3,2,9,2,3,2,2,9,37,65,2015,"Sub-Saharan Africa","SIE",451,"SLE",694,"ssa",2,NA,2,"Sierra Leone","0.413","Low","50.9","181","8.6","3.1","1,780","-16",76.7,2.1,3.5,-5.4,9.8,1.63,-0.7,1.6,NA,"81",91.9,9.5,8.2,6.2,8.4,8.8,8.7,6.9,9.3,5.6,4.8,7.7,7.8,119,29,"Sierra Leone","SSA","SLE",35,20,40,40,NA,NA,14,31,21,32,NA,NA,29,119,8,9.72,3.44,14,40,23.324,34.676
"159","Singapore","PF",4,4,1,2,1,4,2,2,2,2,8,2,3,2,7,0,0,19,1,3,2,3,9,2,1,1,4,1,2,2,2,7,3,3,3,3,12,32,51,2015,"Asia Pacific","SIN",830,"SGP",702,"eap",1,1,1,"Singapore","0.912","Very High","83.0","11","15.4","10.6","76,628","-7",158.1,82,21.4,3.4,NA,NA,15,42.9,"10.3","11,900",34.4,2.9,1.1,3.1,3.3,4,2.5,3.8,1.8,4.6,1.6,4,1.7,8,85,"Singapore","AP","SGP",NA,92,75,NA,87,NA,90,79,88,83,84,NA,85,8,8,5.7,2.02,75,92,81.667,88.333
"160","Slovenia","F",1,1,4,4,4,12,4,4,4,3,15,4,3,4,11,0,0,38,3,3,4,4,14,4,4,4,12,3,4,4,3,14,4,3,3,3,13,53,91,2015,"Europe","SLV",349,"SVN",705,"eca",1,NA,1,"Slovenia","0.880","Very High","80.4","25","16.8","11.9","27,852","12",112.1,71.6,-0.9,-9.6,NA,1.43,2.1,11.3,"-0.1","2,259",31.6,2.8,1.4,3.9,2.8,3.9,4.2,2.6,2,2,2.1,1.6,2.3,35,60,"Slovenia","WE/EU","SVN",NA,62,66,NA,42,57,58,60,54,73,NA,66,60,35,9,8.79,2.93,42,73,55.1655,64.8345
"161","Solomon Islands","PF",3,3,3,3,3,9,3,3,2,2,10,2,2,2,6,0,0,25,3,4,4,3,14,3,3,3,9,2,2,2,2,8,3,3,3,3,12,43,68,2015,"Asia Pacific","SOL",940,"SLB",90,"eap",NA,NA,1,"Solomon Islands","0.506","Low","67.9","156","9.2","5.0","1,540","16",65.8,9,4.1,-4,30,1.51,-4.3,1.4,NA,"24",85.9,8.5,4.9,6.5,6.3,8.9,7.6,7.3,7.6,5.7,6.4,8.2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Somalia","NF",7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,2015,"Sub-Saharan Africa","SOM",520,"SOM",706,"ssa",4,5,4,"Somalia","N/A","N/A","55.4","N/A","N/A","N/A","N/A","N/A",50.9,1.6,NA,NA,NA,NA,-2.9,0.2,NA,"0",114,9.6,9.8,9.5,9.2,9,9.1,9.3,9.3,10,9.7,10,9.5,167,8,"Somalia","SSA","SOM",NA,NA,6,2,NA,NA,NA,12,NA,11,NA,NA,8,167,4,4.65,2.33,2,12,4.1555,11.8445
"163","South Africa","F",2,2,4,4,4,12,3,2,4,4,13,3,2,3,8,0,0,33,3,4,4,4,15,4,4,4,12,3,3,2,2,10,4,3,2,2,11,48,81,2015,"Sub-Saharan Africa","SAF",560,"ZAF",710,"ssa",3,3,4,"South Africa","0.666","Medium","57.4","116","13.6","9.9","12,122","-29",149.7,49,2.2,-2.5,0.4,0.27,-0.4,4.5,"3.6","9,537",67,7,5.9,5.5,4.9,7.4,6.3,5.3,6.4,4.3,5.3,5.6,3.1,61,44,"South Africa","SSA","ZAF",NA,52,45,NA,34,NA,41,41,54,42,NA,NA,44,61,7,6.91,2.61,34,54,39.6935,48.3065
"164","South Korea","F",2,2,4,4,3,11,3,4,3,3,13,4,3,3,10,0,0,34,3,4,3,3,13,4,3,4,11,4,3,3,3,13,4,3,3,3,13,50,84,2015,"Asia Pacific","ROK",732,"KOR",410,"eap",1,NA,2,"Korea (Republic of)","0.898","Very High","81.9","17","16.9","11.9","33,890","13",115.5,84.3,0.9,1.9,NA,0.49,1.2,2.5,"-1.7","12,200",36.3,2.8,1.5,3.4,3.5,3.5,2,3.3,2.4,2.6,2.1,3.8,5.4,37,56,"Korea (South)","AP","KOR",NA,52,58,NA,51,73,70,50,54,52,46,NA,56,37,9,9.26,3.09,46,73,50.9015,61.0985
"165","South Sudan","NF",7,6,1,1,1,3,0,0,0,0,0,1,0,0,1,0,2,2,0,2,1,1,4,1,1,1,3,1,0,0,0,1,2,1,1,1,5,13,15,2015,"Sub-Saharan Africa","SSD",626,"SSD",728,"ssa",5,5,5,"South Sudan","0.467","Low","55.7","169","7.6","5.4","2,332","-9",24.5,15.9,NA,NA,13.4,NA,15.7,5.6,NA,"0",114.5,9.8,10,10,6.9,8.8,9,10,10,10,10,10,10,163,15,"South Sudan","SSA","",12,NA,15,17,NA,NA,NA,NA,NA,NA,NA,NA,15,163,3,2.52,1.45,12,17,12.6075,17.3925
"166","Spain","F",1,1,4,4,4,12,4,4,4,4,16,4,3,4,11,0,0,39,3,4,4,4,15,4,4,4,12,4,4,4,3,15,4,4,4,3,15,57,96,2015,"Europe","SPN",230,"ESP",724,"eca",2,NA,1,"Spain","0.876","Very High","82.6","26","17.3","9.6","32,045","7",107.9,76.2,3.2,-5.8,NA,0.69,2.6,13.8,"1.4","60,700",40.9,2.5,1.7,5.8,2.4,4,5,3.3,2.7,1.9,3.3,6.1,2.2,36,58,"Spain","WE/EU","ESP",NA,55,NA,NA,37,57,65,60,71,63,NA,NA,58,36,7,10.78,4.07,37,71,51.2845,64.7155
"167","Sri Lanka","PF",5,5,2,2,2,6,2,2,2,1,7,2,1,1,4,0,1,16,1,1,2,2,6,2,1,3,6,1,2,1,1,5,2,2,2,2,8,25,41,2015,"Asia Pacific","SRI",780,"LKA",144,"sa",3,3,3,"Sri Lanka","0.757","High","74.9","73","13.7","10.8","9,779","29",103.2,25.8,1.4,-4.4,0.6,9.56,-3,1.5,"-5.1","1,275",90.6,6,8.2,9.3,7.8,7.6,5.9,8,5.6,8.8,7.9,9.1,6.4,83,37,"Sri Lanka","AP","LKA",35,44,28,NA,NA,NA,34,41,38,42,NA,NA,37,83,7,5.53,2.09,28,44,33.5515,40.4485
"168","St. Kitts and Nevis","F",1,1,4,4,4,12,4,4,4,4,16,3,3,3,9,0,0,37,3,4,4,4,15,4,4,4,12,4,3,3,3,13,4,3,3,3,13,53,90,2015,"Americas",NA,NA,NA,NA,NA,NA,NA,NA,"Saint Kitts and Nevis","0.752","High","73.8","77","12.9","8.4","20,805","-21",139.8,65.4,14.5,-14,3.9,6.73,NA,10.5,"-57.9","107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","St. Lucia","F",1,1,4,4,4,12,4,4,4,4,16,4,3,4,11,0,0,39,3,4,4,4,15,4,4,4,12,3,3,3,3,12,4,4,3,3,14,53,92,2015,"Americas",NA,NA,NA,NA,NA,NA,NA,NA,"Saint Lucia","0.729","High","75.1","89","12.6","9.3","9,765","14",102.6,51,6.3,-13.3,1.9,2.26,0,6.7,"-31.5","319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","St. Vincent and Grenadines","F",1,1,4,4,3,11,4,4,4,4,16,4,3,2,9,0,0,36,3,4,4,4,15,4,4,4,12,3,3,4,3,13,4,4,3,3,14,54,90,2015,"Americas",NA,NA,NA,NA,NA,NA,NA,NA,"Saint Vincent and the Grenadines","0.720","High","72.9","97","13.4","8.6","9,937","3",105.2,56.5,17.9,-19.9,1.1,4.45,-9.1,9.4,NA,"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Sudan","NF",7,7,1,1,0,2,1,0,1,1,3,1,0,0,1,0,4,2,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,1,4,6,2015,"Sub-Saharan Africa","SUD",625,"SDN",729,"ssa",5,5,5,"Sudan","0.479","Low","63.5","167","7.0","3.1","3,809","-27",72.2,24.6,3.3,-3.3,1.8,0.64,-4.3,1.2,NA,"591",110.8,8.7,10,9.7,8.8,7.9,8.6,9.6,8.8,9.6,9.5,9.8,9.8,165,12,"Sudan","SSA","SDN",0,NA,15,20,NA,NA,NA,2,21,11,NA,NA,12,165,6,8.92,3.64,0,21,5.994,18.006
"172","Suriname","F",2,2,4,4,4,12,4,4,3,2,13,4,2,2,8,0,0,33,3,4,4,4,15,4,4,3,11,2,1,3,2,8,3,2,3,2,10,44,77,2015,"Americas","SUR",115,"SUR",740,"lac",NA,NA,1,"Suriname","0.714","High","71.1","103","12.7","7.7","15,617","-32",170.6,40.1,2.6,-2.6,0.6,0.13,-1.9,7.7,NA,"249",68.4,5.3,3,5.8,7.3,6.6,6.8,5.5,5.8,4.9,5.4,5.8,6.2,88,36,"Suriname","AME","SUR",NA,35,NA,NA,NA,NA,NA,31,NA,42,NA,NA,36,88,3,5.57,3.22,31,42,30.687,41.313
