"","Country.Territory","Status","PR.Rating","CL.Rating","A1","A2","A3","A.Aggr","B1","B2","B3","B4","B.Aggr","C1","C2","C3","C.Aggr","Add.A","Add.B","PR.Aggr","D1","D2","D3","D4","D.Aggr","E1","E2","E3","E.Aggr","F1","F2","F3","F4","F.Aggr","G1","G2","G3","G4","G.Aggr","CL.Aggr","Total.Aggr","Year.x","Region.x","pti.COW_Code_A","pti.COW_Code_N","pti.WordBank_Code_A","pti.UN_Code_N","pti.Region.y","pti.PTS_A","pti.PTS_H","pti.PTS_S","HDI.Country","unhdi.Human.Development.Index..HDI.","unhdi.Human.Dev.Category","unhdi.Life.expectancy.at.birth","unhdi.HDI.rank","unhdi.Expected.years.of.schooling","unhdi.Mean.years.of.schooling","unhdi.Gross.national.income..GNI..per.capita","unhdi.GNI.per.capita.rank.minus.HDI.rank","unhdi.Mobile.phone.subscriptions..per.100.people.","unhdi.Internet.users....of.population.","unhdi.Foreign.direct.investment..net.inflows....of.GDP.","unhdi.Private.capital.flows..","unhdi.Net.official.development.assistance.received","unhdi.Remittances..inflows","unhdi.Net.migration.rate","unhdi.Stock.of.immigrants","unhdi.International.student.mobility","unhdi.International.inbound.tourists","FSI_Total","FSI_Demographic.Pressures","FSI_Refugees.and.IDPs","FSI_Group.Grievance","FSI_Human.Flight","FSI_Uneven.Development","FSI_Poverty.and.Economic.Decline","FSI_Legitimacy.of.the.State","FSI_Public.Services","FSI_Human.Rights","FSI_Security.Apparatus","FSI_Factionalized.Elites","FSI_External.Intervention","TI_Rank","TI_CPI2015","TI_Country","TI_Region","TI_wbcode","TI_World.Bank.CPIA","TI_World.Economic.Forum.EOS","TI_Bertelsmann.Foundation.TI","TI_African.Dev.Bank","TI_IMD.World.Competitiveness.Yearbook","TI_Bertelsmann.Foundation.SGI","TI_World.Justice.Project.ROL","TI_PRS.International.Country.Risk.Guide","TI_Economist.Intelligence.Unit","TI_IHS.Global.Insight","TI_PERC.Asia.Risk.Guide","TI_Freedom.House.NIT","TI_CPI2015.2.","TI_Rank2","TI_Number.of.Sources","TI_Std.Deviation.of.Sources","TI_Standard.Error","TI_Minimum","TI_Maximum","TI_Lower.CI","TI_Upper.CI"
"173","Swaziland","NF",7,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3,1,2,6,0,1,1,2,2,1,1,1,5,1,1,1,1,4,17,18,2015,"Sub-Saharan Africa","SWA",572,"SWZ",748,"ssa",2,2,3,"Swaziland","0.531","Low","49.0","150","11.3","7.1","5,542","-25",72.3,27.1,0.6,-0.3,3.4,0.79,-1,2,"-32.8","968",86.3,8.5,4.9,3.7,6.9,8.1,9.3,8.5,7.5,8.5,6,6.8,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Sweden","F",1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,0,40,4,3,4,4,15,4,4,4,12,4,4,4,4,16,4,4,4,4,16,59,99,2015,"Europe","SWD",380,"SWE",752,"eca",1,NA,1,"Sweden","0.907","Very High","82.2","14","15.8","12.1","45,636","-1",127.8,92.5,-0.9,-3.3,NA,0.2,4.2,15.9,"1.8","5,229",20.2,2.5,2.3,1.3,1.5,1.8,2.3,1,1.6,1,2.1,1.8,1,3,89,"Sweden","WE/EU","SWE",NA,89,NA,NA,87,89,88,98,88,83,NA,NA,89,3,7,4.53,1.71,83,98,86.1785,91.8215
"175","Switzerland","F",1,1,4,4,4,12,4,4,4,3,15,4,4,4,12,0,0,39,4,3,4,4,15,4,4,4,12,4,4,4,3,15,4,4,4,3,15,57,96,2015,"Europe","SWZ",225,"CHE",756,"eca",1,NA,1,"Switzerland","0.930","Very High","83.0","3","15.8","12.8","56,431","6",140.5,87,-1.2,12.6,NA,0.46,8,28.9,"12.6","8,967",22.3,1.9,2.1,3.6,2.1,2.7,2,1,1.4,1.8,1.4,1,1.3,7,86,"Switzerland","WE/EU","CHE",NA,87,NA,NA,88,89,NA,89,88,73,NA,NA,86,7,6,6.25,2.55,73,89,81.7925,90.2075
"176","Syria","NF",7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-3,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,2015,"Middle East and North Africa",NA,NA,NA,NA,NA,NA,NA,NA,"Syrian Arab Republic","0.594","Medium","69.6","134","12.3","6.3","2,728","21",71,28.1,3.1,NA,0.2,2.55,-13.7,6.4,NA,"5,070",107.9,8.1,10,10,7.4,7,7.5,9.9,8.2,10,10,9.9,9.9,154,18,"Syria","MENA","SYR",NA,NA,6,NA,NA,NA,NA,12,21,32,NA,NA,18,154,4,11.32,5.66,6,32,8.661,27.339
"177","Taiwan (ROC)","F",1,2,4,4,4,12,4,4,3,4,15,4,3,3,10,0,0,37,3,4,3,4,14,3,4,3,10,4,3,4,3,14,4,3,3,3,13,51,88,2015,"Asia Pacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,62,"Taiwan","AP","TWN",NA,70,79,NA,60,NA,NA,50,54,63,56,NA,62,30,7,10.01,3.78,50,79,55.763,68.237
"178","Tajikistan","NF",6,6,0,1,1,2,1,0,1,1,3,1,0,1,2,0,0,7,1,1,1,2,5,1,1,1,3,1,1,0,1,3,1,1,1,1,4,15,22,2015,"Eurasia","TAJ",702,"TJK",762,"eca",3,3,3,"Tajikistan","0.624","Medium","69.4","129","11.2","10.4","2,517","27",95.1,17.5,1.3,-1,4.5,47.5,-2.5,3.4,"-4.2","208",83.4,7.8,4.8,7.3,6.3,5.6,7.4,9.1,5.9,7.6,6.8,8.4,6.4,136,26,"Tajikistan","ECA","TJK",23,53,15,NA,NA,NA,NA,NA,NA,11,NA,26,26,136,5,16.46,7.36,11,53,13.856,38.144
"179","Tanzania","PF",3,3,3,3,3,9,3,3,3,3,12,3,2,2,7,0,0,28,2,3,3,2,10,2,3,2,7,2,3,2,2,9,3,2,2,2,9,35,63,2015,"Sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,"Tanzania (United Republic of)","0.521","Low","65.0","151","9.2","5.1","2,411","8",62.8,4.9,4.3,-5.7,7.9,0.14,-0.6,0.6,"-9.3","1,063",80.8,8.8,6.4,5.7,7,7,6.7,6,8.7,6,5.5,5.7,7.3,117,30,"Tanzania","SSA","TZA",35,31,32,42,NA,NA,21,31,38,11,NA,NA,30,117,8,9.86,3.49,11,42,24.2415,35.7585
"180","Thailand","NF",6,5,0,0,1,1,1,1,1,1,4,0,2,1,3,0,0,8,1,3,1,1,6,1,1,2,4,1,1,1,2,5,3,2,3,2,10,25,33,2015,"Asia Pacific","THI",800,"THA",764,"eap",4,3,3,"Thailand","0.726","High","74.4","93","13.5","7.3","13,323","-13",144.4,34.9,3.3,0.4,0,1.47,0.3,5.6,"-0.2","26,500",79.1,6.9,6,8.5,4.1,5.8,4,8,4.9,7.7,8.9,10,4.3,76,38,"Thailand","AP","THA",NA,43,40,NA,38,NA,26,31,38,42,42,NA,38,76,8,6,2.12,26,43,34.502,41.498
"181","The Gambia","NF",6,6,0,1,1,2,1,1,1,2,5,0,0,0,0,0,0,7,0,2,1,0,3,0,1,2,3,0,0,0,1,1,2,2,1,1,6,13,20,2015,"Sub-Saharan Africa","GAM",420,"GMB",270,"ssa",4,3,3,"Gambia","0.441","Low","60.2","175","8.8","2.8","1,507","-2",119.6,15.6,2.8,NA,12.7,15.45,-1.5,8.8,NA,"171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,28,"Gambia","SSA","GMB",12,49,NA,15,NA,NA,NA,31,NA,32,NA,NA,28,123,5,14.92,6.67,12,49,16.9945,39.0055
"182","Tibet","NF",7,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,1,2015,"Asia Pacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","Togo","PF",4,4,1,2,2,5,2,2,2,2,8,2,1,2,5,0,0,18,2,3,2,2,9,1,2,3,6,2,2,2,1,7,2,2,1,2,7,29,47,2015,"Sub-Saharan Africa","TOG",461,"TGO",768,"ssa",3,NA,1,"Togo","0.484","Low","59.7","162","12.2","4.5","1,228","17",69,5.7,1.9,-0.8,6,10.61,-0.3,3,"-9.4","327",86.8,8,7.1,4.5,7.3,8.1,6.8,8.1,8.6,7.2,7,7.6,6.5,107,32,"Togo","SSA","TGO",23,NA,32,30,NA,NA,NA,31,NA,42,NA,NA,32,107,5,6.8,3.04,23,42,26.984,37.016
"184","Tonga","F",2,2,4,4,3,11,4,4,3,3,14,3,1,2,6,0,0,31,3,4,3,3,13,3,3,2,8,3,3,3,2,11,4,3,3,2,12,44,75,2015,"Asia Pacific","TON",955,"TON",776,"eap",NA,NA,1,"Tonga","0.717","High","72.8","100","14.7","10.7","5,069","32",64.3,40,2.5,NA,16.8,23.8,-15.4,5.2,NA,"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Transnistria","NF",6,6,1,1,1,3,1,2,1,1,5,1,0,1,2,0,0,10,0,2,1,2,5,1,1,0,2,0,0,1,1,2,2,1,1,1,5,14,24,2015,"Eurasia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Trinidad and Tobago","F",2,2,4,4,3,11,3,4,3,3,13,4,2,3,9,0,0,33,4,3,4,4,15,4,4,3,11,3,2,2,2,9,4,3,3,3,13,48,81,2015,"Americas","TRI",52,"TTO",780,"lac",2,NA,2,"Trinidad and Tobago","0.772","High","70.4","64","12.3","10.9","26,090","-25",147.3,65.1,7,NA,0,0.53,-2.2,2.4,"-27.8","434",58.7,5,3,4.1,7.5,5.5,4.3,5,4.8,4.6,5.7,5.6,3.6,72,39,"Trinidad and Tobago","AME","TTO",NA,34,NA,NA,NA,NA,NA,31,38,52,NA,NA,39,72,4,9.29,4.65,31,52,31.3275,46.6725
"187","Tunisia","F",1,3,4,4,4,12,4,4,4,4,16,3,2,3,8,0,0,36,3,3,3,4,13,4,3,3,10,2,2,3,2,9,3,2,4,2,11,43,79,2015,"Middle East and North Africa","TUN",616,"TUN",788,"mena",3,2,2,"Tunisia","0.721","High","74.8","96","14.6","6.8","10,404","1",128.5,46.2,2.3,-2.4,1.6,4.87,-0.6,0.3,"-3.2","6,269",75.8,4.7,4.1,7.8,5.5,5.4,6.6,7,4.9,7,7.8,8.1,6.9,76,38,"Tunisia","MENA","TUN",NA,42,28,NA,NA,NA,38,41,38,42,NA,NA,38,76,6,5.31,2.17,28,42,34.4195,41.5805
"188","Turkey","PF",3,4,3,4,3,10,2,3,3,2,10,3,1,2,6,0,0,26,1,2,2,3,8,1,2,2,5,1,1,3,2,7,3,2,2,2,9,29,55,2015,"Europe","TUR",640,"TUR",792,"eca",4,4,4,"Turkey","0.761","High","75.3","72","14.5","7.6","18,677","-12",94.8,51,1.6,-4.1,0.3,0.14,0.9,2.5,"0.2","37,800",74.5,5.5,7.5,9,3.7,6.2,5,6.3,4.9,6.4,7.7,7.3,5,66,42,"Turkey","ECA","TUR",NA,53,45,NA,42,41,33,41,38,42,NA,NA,42,66,8,5.72,2.02,33,53,38.667,45.333
"189","Turkmenistan","NF",7,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,1,1,0,3,5,6,2015,"Eurasia","TKM",701,"TKM",795,"eca",3,4,3,"Turkmenistan","0.688","Medium","65.6","109","10.8","9.9","13,066","-28",135.8,12.2,7.3,NA,0.1,NA,-1,4.3,NA,"8",77.5,5.7,3.9,7.1,5.1,6.9,5,9.7,6.1,8.8,6.8,7.8,4.6,154,18,"Turkmenistan","ECA","TKM",NA,NA,19,NA,NA,NA,NA,NA,21,11,NA,21,18,154,4,4.76,2.38,11,21,14.073,21.927
"190","Tuvalu","F",1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,0,0,37,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,3,3,14,57,94,2015,"Asia Pacific","TUV",947,"TUV",798,"eap",NA,NA,1,"Tuvalu","N/A","N/A","N/A","N/A","N/A","N/A","5,278","N/A",38.4,NA,0.9,NA,48.3,10.59,NA,1.5,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Uganda","NF",6,5,1,1,1,3,1,1,1,2,5,1,1,1,3,0,0,11,1,3,3,2,9,1,1,2,4,2,1,1,1,5,2,2,1,2,7,25,36,2015,"Sub-Saharan Africa","UGA",500,"UGA",800,"ssa",3,2,3,"Uganda","0.483","Low","58.5","163","9.8","5.4","1,613","6",52.4,17.7,4.8,-5.5,7,3.77,-0.8,1.4,"7.2","1,206",97,8.9,8.8,8.7,7.3,7.3,7,8,8.3,7.9,7.6,8.9,8.3,139,25,"Uganda","SSA","UGA",12,28,32,32,NA,NA,15,21,38,22,NA,NA,25,139,8,9.02,3.19,12,38,19.7365,30.2635
"192","Ukraine","PF",3,3,4,3,2,9,3,3,1,3,10,3,1,2,6,0,0,25,2,3,3,3,11,3,3,3,9,1,2,1,2,6,4,2,3,2,11,37,62,2015,"Eurasia","UKR",369,"UKR",804,"eca",4,5,4,"Ukraine","0.747","High","71.0","81","15.1","11.3","8,178","25",144.1,43.4,2.5,-7.3,0.4,5.45,-0.2,11.4,"0.5","24,700",76.3,4.5,4.4,7,5.5,4.7,6.5,8.5,3.8,6.4,7.9,8,9.1,130,27,"Ukraine","ECA","UKR",NA,28,36,NA,26,NA,22,21,21,32,NA,29,27,130,8,5.46,1.93,21,36,23.8155,30.1845
"193","United Arab Emirates","NF",6,6,0,1,0,1,0,0,1,1,2,0,2,0,2,3,0,8,1,1,1,1,4,1,0,1,2,0,1,1,1,3,1,1,1,1,4,13,21,2015,"Middle East and North Africa","UAE",696,"ARE",784,"mena",3,3,3,"United Arab Emirates","0.835","Very High","77.0","41","13.3","9.5","60,868","-34",178.1,90.4,2.6,NA,NA,NA,11.4,83.7,"38.2","7,126",46.2,4.5,2.2,3.9,2.5,4.2,2.9,6.6,2.7,7.1,3.1,3.6,2.9,23,70,"United Arab Emirates","MENA","ARE",NA,91,53,NA,76,NA,77,69,54,73,NA,NA,70,23,7,13.41,5.07,53,91,61.6345,78.3655
"194","United Kingdom","F",1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,0,40,3,4,4,4,15,4,4,4,12,4,4,4,3,15,4,4,4,3,15,57,97,2015,"Europe","UKG",200,"GBR",826,"eca",1,NA,1,"United Kingdom","0.907","Very High","80.7","14","16.2","13.1","39,267","9",123.6,91.6,1.8,-3.9,NA,0.06,2.9,12.4,"16.3","31,200",33.4,2.6,2.4,5.6,2.1,3.7,3.9,2,2.1,1.8,2.5,3.5,1.2,10,81,"United Kingdom","WE/EU","GBR",NA,82,NA,NA,81,73,80,89,88,73,NA,NA,81,10,7,6.36,2.4,73,89,77.04,84.96
"195","United States of America","F",1,1,4,4,3,11,4,4,4,4,16,3,4,3,10,0,0,37,4,4,4,3,15,4,4,3,11,4,4,3,3,14,4,4,4,3,15,55,92,2015,"Americas",NA,NA,NA,NA,NA,NA,NA,NA,"United States","0.915","Very High","79.1","8","16.5","12.9","52,947","3",98.4,87.4,1.8,0.7,NA,0.04,3.1,14.3,"3.6","69,800",35.3,3,2.1,5,1.5,4.8,2.8,2.4,2.1,3.7,2.8,4,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Uruguay","F",1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,0,40,4,4,4,4,16,4,4,4,12,4,3,4,4,15,4,4,4,3,15,58,98,2015,"Americas","URU",165,"URY",858,"lac",1,NA,1,"Uruguay","0.793","High","77.2","52","15.5","8.5","19,283","7",160.8,61.5,5,-10,0.1,0.22,-1.8,2.2,NA,"2,683",36.5,3.5,1.9,3,4.4,4.2,3.2,1.4,3.4,2.2,3.7,2.7,2.9,21,74,"Uruguay","AME","URY",NA,71,79,NA,NA,NA,70,79,71,73,NA,NA,74,21,6,4.12,1.68,70,79,71.228,76.772
"197","Uzbekistan","NF",7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,3,4,4,2015,"Eurasia","UZB",704,"UZB",860,"eca",3,4,3,"Uzbekistan","0.675","Medium","68.4","114","11.5","10.9","5,567","10",73.8,43.6,1.9,NA,0.5,NA,-1.4,4.4,"-8.3","1,969",85.4,6.1,6,7.6,6.3,7,6.8,9.6,5.4,9.1,7.6,8.8,5.1,153,19,"Uzbekistan","ECA","UZB",12,NA,19,NA,NA,NA,29,NA,21,11,NA,21,19,153,6,6.65,2.71,11,29,14.5285,23.4715
"198","Vanuatu","F",2,2,3,3,3,9,4,4,4,3,15,4,2,2,8,0,0,32,3,4,4,4,15,4,4,3,11,2,2,3,3,10,4,3,2,2,11,47,79,2015,"Asia Pacific","VAN",935,"VUT",548,"eap",NA,NA,1,"Vanuatu","0.594","Medium","71.9","134","10.6","6.8","2,803","19",60.4,18.8,4,-2,11.4,2.86,0,1.2,NA,"110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Venezuela","PF",5,5,2,2,1,5,1,1,1,3,6,1,0,1,2,0,0,13,1,3,2,2,8,1,1,1,3,1,0,1,1,3,2,1,3,2,8,22,35,2015,"Americas",NA,NA,NA,NA,NA,NA,NA,NA,"Venezuela (Bolivarian Republic of)","0.762","High","74.2","71","14.2","8.9","16,159","-2",99,57,1.6,-1.2,0,0.03,0.3,3.9,"-0.5","986",78.6,5.1,4.8,7.3,5.2,6.7,6.5,8.6,7.2,8.3,6.5,8.1,4.3,158,17,"Venezuela","AME","VEN",NA,21,15,NA,25,NA,5,12,21,22,NA,NA,17,158,7,6.99,2.64,5,25,12.644,21.356
"200","Vietnam","NF",7,5,0,0,0,0,0,0,0,1,1,0,1,1,2,0,0,3,1,1,1,1,4,1,0,0,1,1,1,1,1,4,2,1,3,2,8,17,20,2015,"Asia Pacific",NA,NA,NA,NA,NA,NA,NA,NA,"Viet Nam","0.666","Medium","75.8","116","11.9","7.5","5,092","15",147.1,48.3,5.2,-4.9,2.5,6.35,-0.4,0.1,"-2.2","7,572",72.4,6.1,4.7,6.5,5.6,5.5,5.8,8.1,5.2,7.8,5.1,6.9,5.1,112,31,"Vietnam","AP","VNM",35,37,28,NA,NA,NA,36,41,21,22,31,NA,31,112,8,7.23,2.56,21,41,26.776,35.224
"201","West Bank","NF",6,5,0,0,2,2,1,1,1,2,5,0,1,1,2,0,3,6,1,3,2,3,9,2,2,2,6,2,2,0,1,5,1,1,2,1,5,25,31,2015,"Middle East and North Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Western Sahara","NF",7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,0,2,0,1,3,0,0,0,0,0,0,0,0,0,1,1,2,0,4,7,5,2015,"Middle East and North Africa",NA,NA,"ESH",732,"mena",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Yemen","NF",6,6,1,0,2,3,2,1,0,1,4,0,1,1,2,0,0,9,1,2,2,1,6,1,1,1,3,1,0,0,1,2,2,1,1,1,5,16,25,2015,"Middle East and North Africa","YEM",679,"YEM",887,"mena",5,5,5,"Yemen","0.498","Low","63.8","160","9.2","2.6","3,519","-17",68.5,22.6,-0.4,0.8,2.9,9.3,-1.1,1.3,"-0.8","990",108.1,9.2,9.1,9.4,7.5,8.1,9.3,9.3,8.2,9.1,10,9.4,9.5,154,18,"Yemen","MENA","YEM",12,14,28,NA,NA,NA,NA,12,21,22,NA,NA,18,154,6,6.52,2.66,12,28,13.611,22.389
"204","Zambia","PF",3,4,3,2,3,8,3,3,3,3,12,2,2,2,6,0,0,26,2,3,3,3,11,2,2,3,7,2,2,2,2,8,3,2,1,2,8,34,60,2015,"Sub-Saharan Africa","ZAM",551,"ZMB",894,"ssa",2,NA,3,"Zambia","0.586","Medium","60.1","139","13.5","6.6","3,734","2",67.3,17.3,6.8,-6.4,4.4,0.2,-0.6,0.7,NA,"915",85.2,9.4,6.9,5.7,7.8,8.6,7.7,7.4,7.6,6.8,5,5.7,6.6,76,38,"Zambia","SSA","ZMB",35,46,28,50,NA,NA,36,41,38,32,NA,NA,38,76,8,7.23,2.56,28,50,33.776,42.224
"205","Zimbabwe","NF",5,6,1,1,1,3,2,2,1,1,6,1,1,1,3,0,0,12,1,2,1,2,6,1,1,1,3,1,0,0,1,2,2,1,1,1,5,16,28,2015,"Sub-Saharan Africa","ZIM",552,"ZWE",716,"ssa",3,3,4,"Zimbabwe","0.509","Low","57.5","155","10.9","7.3","1,615","13",80.8,19.9,3,NA,6.5,NA,5.7,2.6,"-16.7","1,833",100,8.7,8.4,7.8,8,8.1,8,9,8.5,8.3,7.9,9.7,7.6,150,21,"Zimbabwe","SSA","ZWE",0,38,15,17,NA,NA,23,12,38,22,NA,NA,21,150,8,12.85,4.54,0,38,13.509,28.491
"206","Montenegro","F",3,2,3,3,3,9,3,2,3,3,11,3,2,2,7,0,0,27,2,3,3,4,12,4,3,3,10,2,2,3,3,10,3,3,3,3,12,44,71,2015,"Europe","MNG",341,"MNE",499,"eca",3,NA,1,"Montenegro","0.802","Very High","76.2","49","15.2","11.2","14,558","27",163,61,10.1,-11,2.8,9.59,-0.8,8.2,NA,"1,324",54.2,3.3,4.5,7.3,3.6,2.9,4.6,4,3.6,4.2,4,6.3,5.9,61,44,"Montenegro","ECA","MON",NA,50,53,NA,NA,NA,NA,NA,NA,32,NA,39,44,61,4,9.75,4.88,32,53,35.948,52.052
"207","Serbia","F",2,2,3,4,3,10,4,4,3,3,14,3,2,2,7,0,0,31,3,4,4,4,15,4,4,3,11,2,3,3,2,10,4,3,3,3,13,49,80,2015,"Europe",NA,NA,"SRB",688,"eca",1,2,2,"Serbia","0.771","High","74.9","66","14.4","10.5","12,190","20",122.1,53.5,4.3,-9.2,1.8,8.84,-2.1,5.6,"-1.2","922",73.8,5.5,7,8.1,5.3,5.3,6.7,5.7,4.7,4.9,6,8,6.6,71,40,"Serbia","ECA","SCG",NA,37,58,NA,NA,NA,27,31,38,42,NA,47,40,71,7,10.33,3.9,27,58,33.565,46.435
"208","Slovakia","F",1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,0,0,37,3,4,4,4,15,4,4,4,12,3,3,3,3,12,4,4,3,3,14,53,90,2015,"Europe","SLO",317,"SVK",703,"eca",2,NA,2,"Slovakia","0.844","Very High","76.3","35","15.1","12.2","25,845","5",116.9,80,2.2,-10.8,NA,2.12,0.6,2.7,"-10.9","6,235",42.6,2.8,2,5.9,4.2,4,5.1,3.7,2.9,2.7,2.3,3.7,3.3,50,51,"Slovakia","WE/EU","SVK",NA,38,62,NA,35,57,NA,50,54,63,NA,52,51,50,8,10.25,3.62,35,63,45.027,56.973
"209","Somaliland","PF",4,5,3,0,2,5,3,3,2,2,10,2,2,2,6,0,0,21,1,2,2,2,7,1,2,2,5,2,2,1,2,7,2,2,1,1,6,25,46,2015,"Sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","South Ossetia","NF",7,6,0,1,1,2,1,1,0,0,2,0,0,0,0,0,3,1,0,2,1,1,4,1,0,0,1,0,0,0,1,1,1,0,2,0,3,9,10,2015,"Eurasia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
